Year,Month,Cof_idx,Recovery,Expansion,Downturn,Depression,Recession
 1990,1,-1.2,0,0,0,1,0
 1990,2,-1.4,0,0,0,1,0
 1990,3,-0.8,0,0,0,1,0
 1990,4,-1.4,0,0,0,1,0
 1990,5,-1.1,0,0,0,1,0
 1990,6,-1.1,0,0,0,1,0
 1990,7,-1.1,0,0,0,1,1
 1990,8,-2.8,0,0,0,1,1
 1990,9,-4.1,0,0,0,1,1
 1990,10,-5.2,0,0,0,1,1
 1990,11,-7.1,0,0,0,1,1
 1990,12,-8,0,0,0,1,1
 1991,1,-9.1,0,0,0,1,1
 1991,2,-9.1,0,0,0,1,1
 1991,3,-9.6,0,0,0,1,1
 1991,4,-8.4,1,0,0,0,0
 1991,5,-7.7,1,0,0,0,0
 1991,6,-7.7,1,0,0,0,0
 1991,7,-6.3,1,0,0,0,0
 1991,8,-4.8,1,0,0,0,0
 1991,9,-2.8,1,0,0,0,0
 1991,10,-1.5,1,0,0,0,0
 1991,11,0.3,0,1,0,0,0
 1991,12,1.2,0,1,0,0,0
 1992,1,3.5,0,1,0,0,0
 1992,2,4.2,0,1,0,0,0
 1992,3,5.4,0,1,0,0,0
 1992,4,5.2,0,1,0,0,0
 1992,5,5.5,0,1,0,0,0
 1992,6,6.2,0,1,0,0,0
 1992,7,5.6,0,1,0,0,0
 1992,8,5.8,0,1,0,0,0
 1992,9,5.2,0,1,0,0,0
 1992,10,5.5,0,1,0,0,0
 1992,11,6.4,0,1,0,0,0
 1992,12,7.9,0,1,0,0,0
 1993,1,7.8,0,1,0,0,0
 1993,2,8.2,0,1,0,0,0
 1993,3,7.3,0,1,0,0,0
 1993,4,7.4,0,1,0,0,0
 1993,5,6.7,0,1,0,0,0
 1993,6,6.3,0,1,0,0,0
 1993,7,5.9,0,1,0,0,0
 1993,8,6.4,0,1,0,0,0
 1993,9,6.5,0,1,0,0,0
 1993,10,7.2,0,1,0,0,0
 1993,11,6.8,0,1,0,0,0
 1993,12,7,0,1,0,0,0
 1994,1,6.2,0,1,0,0,0
 1994,2,6,0,1,0,0,0
 1994,3,7.4,0,1,0,0,0
 1994,4,7.3,0,1,0,0,0
 1994,5,7.8,0,1,0,0,0
 1994,6,8.3,0,1,0,0,0
 1994,7,8.6,0,1,0,0,0
 1994,8,8.7,0,1,0,0,0
 1994,9,9,0,1,0,0,0
 1994,10,8.9,0,0,1,0,0
 1994,11,8.7,0,0,1,0,0
 1994,12,7.9,0,0,1,0,0
 1995,1,8.2,0,0,1,0,0
 1995,2,7.8,0,0,1,0,0
 1995,3,6.4,0,0,1,0,0
 1995,4,5.7,0,0,1,0,0
 1995,5,5.1,0,0,1,0,0
 1995,6,4.3,0,0,1,0,0
 1995,7,3.9,0,0,1,0,0
 1995,8,3.6,0,0,1,0,0
 1995,9,3.3,0,0,1,0,0
 1995,10,2.5,0,0,1,0,0
 1995,11,2.2,0,0,1,0,0
 1995,12,1.6,0,0,1,0,0
 1996,1,-0.4,0,0,1,0,0
 1996,2,0.5,0,1,0,0,0
 1996,3,0.9,0,1,0,0,0
 1996,4,1.2,0,1,0,0,0
 1996,5,2,0,1,0,0,0
 1996,6,2.6,0,1,0,0,0
 1996,7,2.4,0,1,0,0,0
 1996,8,2.1,0,1,0,0,0
 1996,9,2.1,0,1,0,0,0
 1996,10,2.7,0,1,0,0,0
 1996,11,3.5,0,1,0,0,0
 1996,12,3.5,0,1,0,0,0
 1997,1,6,0,1,0,0,0
 1997,2,6.2,0,1,0,0,0
 1997,3,6.3,0,1,0,0,0
 1997,4,6.3,0,1,0,0,0
 1997,5,5.9,0,1,0,0,0
 1997,6,6.2,0,1,0,0,0
 1997,7,7.5,0,1,0,0,0
 1997,8,7.6,0,1,0,0,0
 1997,9,7.9,0,1,0,0,0
 1997,10,7.9,0,1,0,0,0
 1997,11,7.3,0,0,1,0,0
 1997,12,7.6,0,0,1,0,0
 1998,1,7,0,0,1,0,0
 1998,2,6.8,0,0,1,0,0
 1998,3,6.4,0,0,1,0,0
 1998,4,6,0,0,1,0,0
 1998,5,6,0,0,1,0,0
 1998,6,4.6,0,0,1,0,0
 1998,7,3.7,0,0,1,0,0
 1998,8,3.3,0,0,1,0,0
 1998,9,1.8,0,0,1,0,0
 1998,10,0.8,0,0,1,0,0
 1998,11,1,0,0,1,0,0
 1998,12,1,0,0,1,0,0
 1999,1,0.7,0,0,1,0,0
 1999,2,0.1,0,0,1,0,0
 1999,3,0.1,0,0,1,0,0
 1999,4,0.4,0,1,0,0,0
 1999,5,0.4,0,1,0,0,0
 1999,6,1.1,0,1,0,0,0
 1999,7,1.5,0,1,0,0,0
 1999,8,1.6,0,1,0,0,0
 1999,9,2.4,0,1,0,0,0
 1999,10,3.5,0,1,0,0,0
 1999,11,3.9,0,1,0,0,0
 1999,12,4.5,0,1,0,0,0
 2000,1,5.5,0,1,0,0,0
 2000,2,4.4,0,1,0,0,0
 2000,3,5.3,0,1,0,0,0
 2000,4,5.3,0,1,0,0,0
 2000,5,3.7,0,0,1,0,0
 2000,6,4,0,0,1,0,0
 2000,7,2.8,0,0,1,0,0
 2000,8,2.2,0,0,1,0,0
 2000,9,2.4,0,0,1,0,0
 2000,10,0.9,0,0,1,0,0
 2000,11,-0.5,0,0,0,1,0
 2000,12,-2.8,0,0,0,1,0
 2001,1,-4.4,0,0,0,1,0
 2001,2,-5,0,0,0,1,0
 2001,3,-7.5,0,0,0,1,1
 2001,4,-8.6,0,0,0,1,1
 2001,5,-7.6,0,0,0,1,1
 2001,6,-8.5,0,0,0,1,1
 2001,7,-8.5,0,0,0,1,1
 2001,8,-8.3,0,0,0,1,1
 2001,9,-10.2,0,0,0,1,1
 2001,10,-9.8,1,0,0,0,1
 2001,11,-8.8,1,0,0,0,1
 2001,12,-7,1,0,0,0,0
 2002,1,-6.2,1,0,0,0,0
 2002,2,-4.4,1,0,0,0,0
 2002,3,-2.2,1,0,0,0,0
 2002,4,-0.2,1,0,0,0,0
 2002,5,0.2,0,1,0,0,0
 2002,6,1.1,0,1,0,0,0
 2002,7,1,0,1,0,0,0
 2002,8,1.5,0,1,0,0,0
 2002,9,2.9,0,1,0,0,0
 2002,10,3.5,0,1,0,0,0
 2002,11,3.5,0,1,0,0,0
 2002,12,3.1,0,1,0,0,0
 2003,1,3.3,0,1,0,0,0
 2003,2,2.2,0,0,1,0,0
 2003,3,1.5,0,0,1,0,0
 2003,4,0.4,0,0,1,0,0
 2003,5,0.7,0,0,1,0,0
 2003,6,1.3,0,1,0,0,0
 2003,7,2.2,0,1,0,0,0
 2003,8,2.7,0,1,0,0,0
 2003,9,4.3,0,1,0,0,0
 2003,10,5.4,0,1,0,0,0
 2003,11,6.1,0,1,0,0,0
 2003,12,7,0,1,0,0,0
 2004,1,8,0,1,0,0,0
 2004,2,9.4,0,1,0,0,0
 2004,3,11,0,1,0,0,0
 2004,4,11.6,0,1,0,0,0
 2004,5,11.5,0,1,0,0,0
 2004,6,11.1,0,1,0,0,0
 2004,7,11.5,0,1,0,0,0
 2004,8,11.3,0,0,1,0,0
 2004,9,11,0,0,1,0,0
 2004,10,10.2,0,0,1,0,0
 2004,11,9.9,0,0,1,0,0
 2004,12,9.9,0,0,1,0,0
 2005,1,9.4,0,0,1,0,0
 2005,2,8.9,0,0,1,0,0
 2005,3,7.2,0,0,1,0,0
 2005,4,7.4,0,0,1,0,0
 2005,5,6.3,0,0,1,0,0
 2005,6,6.6,0,0,1,0,0
 2005,7,6,0,0,1,0,0
 2005,8,6.2,0,0,1,0,0
 2005,9,5,0,0,1,0,0
 2005,10,4.8,0,0,1,0,0
 2005,11,4.5,0,0,1,0,0
 2005,12,3.6,0,0,1,0,0
 2006,1,3.6,0,0,1,0,0
 2006,2,3.1,0,0,1,0,0
 2006,3,3.7,0,0,1,0,0
 2006,4,2.6,0,0,1,0,0
 2006,5,2.3,0,0,1,0,0
 2006,6,1.3,0,0,1,0,0
 2006,7,0.8,0,0,1,0,0
 2006,8,-0.1,0,0,0,1,0
 2006,9,0.1,0,0,0,1,0
