Phase,Year_Month,R1-RF,R2-RF,R3-RF,R4-RF,R5-RF,CMA,CRD,EG,HML,IA,LIQ,ME,MOM,Mkt-RF,RMW,ROE,SMB
Recovery,1991-04,0.6604469031597475,1.3241612065138713,1.9254048567976938,2.5441023052694547,3.2693692872372973,0.74,-0.0658808139901934,0.6157,1.5,0.4677,-1.2426705732654808,-0.7093,-2.36,-0.28,0.62,1.3981,0.31
Recovery,1991-05,0.5015186513618024,1.1967218245824067,2.1898374870377753,3.1511893660255126,4.044966673751531,-2.43,5.353834050170581,-1.0619,-0.52,-1.9526,5.013104047638817,-0.5648,-0.11,3.65,2.0,-0.7118,0.14
Recovery,1991-06,-1.7859380780039142,-1.0726639636067588,-0.1859033602469991,0.6932464034642409,1.6358569792430648,0.65,-2.3807410887888625,0.4831,1.15,0.6135,-5.711036177302919,0.0591,0.47,-4.94,1.79,1.3683,0.24
Recovery,1991-07,2.1009941278831947,2.5455273925800173,2.7012020992761245,2.821677806727209,2.9522698946164008,-1.36,5.5456166816658214,0.3864,-1.32,-0.6418,2.5729376302079388,-0.5405,4.32,4.24,1.6,3.0468,-0.96
Recovery,1991-08,1.6371470550430693,2.041896372556711,2.5815611913923835,3.090082067146554,3.5962721094521637,-0.34,13.020890370457682,-0.2496,-0.78,-0.0359,4.061817219648867,1.2962,1.57,2.32,0.84,1.1586,1.4
Recovery,1991-09,1.5926055710454516,2.2903440055411277,3.0121617593851617,3.6830087409362715,4.30590980762317,0.08,-2.3688040463560767,0.2084,-1.08,-0.8242,-2.0996514453912707,1.812,1.79,-1.59,-1.82,-0.3644,1.56
Recovery,1991-10,1.7109308598333355,2.121799219916041,2.5058807011025124,2.8560569040243937,3.1976690357039743,-0.23,3.117699814532271,3.2018,-0.47,1.3518,6.094848150289689,0.548,3.06,1.29,-1.7,-0.0451,0.91
Recovery,2001-10,1.9434804411004627,3.329409494770472,4.607080641432358,5.591770461280452,6.596116034848174,-4.55,7.654379969143199,-0.5555,-7.65,-2.9867,15.88188587631798,3.4861,-8.47,2.46,-2.98,-4.3754,5.27
Recovery,2001-11,2.6951489953503307,3.8074469209399977,5.007477129848973,6.000658710814814,7.041877681163936,-1.61,4.47579510536722,-2.9927,2.21,-1.1391,8.955893979220031,-1.3907,-8.69,7.54,-3.73,-8.4893,-0.31
Recovery,2001-12,3.565533047304942,4.835246471821991,6.019160366380488,7.2628263963270765,8.387023202341265,-0.26,0.2788783957302643,-2.257,0.84,-0.1753,0.2130709200282243,5.3201,0.07,1.6,0.34,0.5419,5.16
