Phase,Year_Month,R1-RF,R2-RF,R3-RF,CMA,CRD,EG,HML,IA,LIQ,ME,MOM,Mkt-RF,RMW,ROE,SMB
Recovery,1991-04,0.6604469031597475,1.925396332633586,3.2697244236664282,0.74,-0.0658808139901934,0.6157,1.5,0.4677,-1.2426705732654808,-0.7093,-2.36,-0.28,0.62,1.3981,0.31
Recovery,1991-05,0.5015186513618024,2.189796109583046,4.045095683912396,-2.43,5.353834050170581,-1.0619,-0.52,-1.9526,5.013104047638817,-0.5648,-0.11,3.65,2.0,-0.7118,0.14
Recovery,1991-06,-1.7859380780039142,-0.18625830533878412,1.6373439001017047,0.65,-2.3807410887888625,0.4831,1.15,0.6135,-5.711036177302919,0.0591,0.47,-4.94,1.79,1.3683,0.24
Recovery,1991-07,2.1009941278831947,2.70152480146041,2.9519629566625696,-1.36,5.5456166816658214,0.3864,-1.32,-0.6418,2.5729376302079388,-0.5405,4.32,4.24,1.6,3.0468,-0.96
Recovery,1991-08,1.6371470550430693,2.5817037001806646,3.5959404898677487,-0.34,13.020890370457682,-0.2496,-0.78,-0.0359,4.061817219648867,1.2962,1.57,2.32,0.84,1.1586,1.4
Recovery,1991-09,1.5926055710454516,3.0119772541945915,4.306077960254722,0.08,-2.3688040463560767,0.2084,-1.08,-0.8242,-2.0996514453912707,1.812,1.79,-1.59,-1.82,-0.3644,1.56
Recovery,1991-10,1.7109308598333355,2.50598420898631,3.197826171554084,-0.23,3.117699814532271,3.2018,-0.47,1.3518,6.094848150289689,0.548,3.06,1.29,-1.7,-0.0451,0.91
Recovery,2001-10,1.9524799318897148,4.587169873646911,6.562886241063047,-4.55,7.654379969143199,-0.5555,-7.65,-2.9867,15.88188587631798,3.4861,-8.47,2.46,-2.98,-4.3754,5.27
Recovery,2001-11,2.6612659725502343,4.901563719372052,6.936739328382417,-1.61,4.47579510536722,-2.9927,2.21,-1.1391,8.955893979220031,-1.3907,-8.69,7.54,-3.73,-8.4893,-0.31
Recovery,2001-12,3.5329160228651015,5.930736058599534,8.255664403012958,-0.26,0.2788783957302643,-2.257,0.84,-0.1753,0.2130709200282243,5.3201,0.07,1.6,0.34,0.5419,5.16
Recovery,2002-01,2.396166154805963,3.8987435777522683,4.998290558828107,2.84,-1.6967356287292068,4.2877,3.44,3.2498,-1.762042546560283,0.7237,3.75,-1.44,4.69,0.3033,1.26
Recovery,2002-02,2.5267078497914843,4.35678339466726,6.121813542934515,5.11,5.282646821805637,3.7643,2.16,4.4456,-8.136813727282178,-0.4922,6.82,-2.29,8.07,5.3235,-0.36
Recovery,2002-03,4.554523340343416,6.257038844793391,8.282188511151729,0.58,-4.538741107757039,-0.5528,1.06,0.7761,4.916480646263444,4.6097,-1.64,4.24,-1.78,-4.7001,4.25
Recovery,2002-04,3.3627837886498093,5.839908737559823,7.562683061130265,5.38,4.052599889454145,4.0819,3.88,4.0731,-7.988180639177534,7.5846,7.63,-5.2,4.56,5.4639,6.72
Recovery,2009-04,1.4601435316035072,4.870068908024393,8.722840530612363,0.13,-7.4605269051941985,-1.9211,5.36,3.5317,19.730712935229768,7.3504,-34.3,10.18,1.31,-13.9902,7.13
Recovery,2009-05,4.2416047490901,7.364044382134494,10.625247587196807,-2.17,-6.500586274716158,-0.587,0.28,-2.4121,5.475577760777672,-1.337,-12.49,5.21,-0.78,-3.2921,-2.32
Recovery,2009-06,4.231165222457522,5.0223724314457865,5.66584965831911,-0.33,-0.1384113472901904,2.5897,-2.73,0.4848,-5.701804815860267,3.7792,5.48,0.43,-1.41,0.9567,2.29
Recovery,2009-07,3.496560041320084,5.252352267456572,6.973330848573455,3.14,-4.100309483673136,-1.0228,4.83,2.0193,3.4842601869184975,1.6803,-5.55,7.72,-0.46,-4.9457,2.39
Recovery,2009-08,1.3510625495510176,1.9267841182380108,2.2966937706377024,3.34,-8.424474411252358,-1.5559,7.63,2.2891,8.057971481451931,0.8741,-9.07,3.33,-3.02,-2.5812,-0.09
Recovery,2009-09,3.709663837953147,4.685878428060407,5.481928590181727,0.36,-1.5047684946099316,-2.6452,1.05,-1.1383,3.5118908189670783,2.4775,-4.79,4.08,1.31,-2.7953,2.73
Recovery,2009-10,1.2677202020691336,1.9976627104071332,2.455463810910019,-1.51,5.649800654360515,2.9368,-4.21,-0.2528,-4.141457647050251,-4.6208,2.61,-2.59,4.17,3.9382,-4.93
Recovery,2009-11,4.730008117127671,5.460380949109678,6.020992498814137,0.12,-3.83161677279984,-0.3241,-0.34,-0.3339,1.0607214900898665,-2.3874,0.3,5.56,1.0,1.0111,-2.68
Recovery,2020-05,6.430090905306528,7.202140467855655,7.986083394486053,-3.26,4.399044598960411,0.7014,-4.88,-3.7099,7.361826909216718,2.4777,0.43,5.58,0.95,-0.6115,1.97
Recovery,2020-06,-0.8842877073894206,-0.23149997134259803,0.46919536000777806,0.54,-2.1509528943174705,1.6956,-2.2,0.2574,7.125224668859742,2.2921,-0.73,2.46,0.09,1.1653,1.96
Recovery,2020-07,6.203390406631003,6.500299185196789,6.793335512052211,1.02,5.185735489036691,1.3992,-1.41,-1.3813,2.5673573475173184,-1.2545,7.61,5.77,0.41,3.3555,-3.2
Recovery,2020-08,2.9409975153136028,3.914183536059811,4.823723247044475,-1.19,-2.7043358160594777,-1.6697,-2.97,-2.9853,5.908700363428787,-2.0267,0.55,7.63,4.28,-0.7089,-0.89
Recovery,2020-09,-2.6799216824520586,-2.137074779546367,-1.5659047075368815,-1.85,5.768990110840244,0.8072,-2.71,-2.5136,0.1776507867683907,0.592,3.12,-3.63,-1.36,1.1375,0.01
