Date,XOM,JNJ,CVX,KO,IBM,TXN,COP,SYK,FI,CDNS,GD,MMM,EA,VMC,CHD,JBHT,PTC,MGM,TRMB,PNR,IPG,CLF,CHE,GNTX,ARW,MUR,HOG,AVNT,AIN,LEG,MTRN,TDS,LUMN,OMI,NVRI,MSFT,WMT,PG,HD,ORCL,NKE,AMAT,LOW,MDT,TJX,ADI,MU,KLAC,BDX,TGT,NOC,CTAS,EMR,APD,ROST,PAYX,ADM,HPQ,CLX,RPM,CAG,IP,TOL,CASY,BBWI,THC,PVH,GPS,CRUS,KBH,HP,WDFC,CRS,WOR,AGYS,AIR,PLAB,WGO,BBY
1990-09-30,2.550306464,5.474761659,2.667870289,5.50710708,2.850561051,2.513593484,1.897384576,10.12596361,1.044458787,8.067882834,2.166265412,4.975326079,6.634873217,4.138385757,4.203379094,3.702067187,18.4834384,2.228715292,8.400720139,2.656872697,1.628611544,2.662232666,2.950969988,5.40084055,2.860623947,2.370078913,4.431235083,2.443863211,1.885038899,3.552843906,2.67083945,1.532467988,1.812542264,5.337993834,3.124394004,23.93157113,6.83432824,3.505718279,5.598684401,3.165114237,7.188461455,2.875769688,4.186639097,7.372312556,3.163513236,3.149888902,2.096687774,3.206455137,3.050170245,2.588332614,2.659224018,5.968401744,3.834393491,2.3284404,3.169835282,13.38422663,4.339204969,3.169532518,3.606150819,4.555879064,2.529394657,2.225156065,2.289268852,3.837845518,5.175122298,2.683617139,3.217512783,7.48226893,7.334655115,1.54258987,5.992199428,25.68738942,2.476515174,5.057172518,4.083853382,3.055331005,4.128647711,2.614214645,3.051991671
1990-12-31,2.664087871,5.891116922,2.726159081,5.640336057,2.840000911,2.578220153,2.151906126,10.71971041,1.002219047,8.428540016,1.782384957,5.219251795,6.56531768,4.181345116,4.42267491,3.232127264,23.57068152,1.524222535,7.117707767,2.732510862,1.267134681,2.675965674,2.843973016,4.446412552,2.939832936,2.41245632,4.311322321,2.380418707,1.884417911,3.68119161,3.205091512,1.887165515,2.149369995,4.456294436,3.658076071,24.61538399,8.032247842,3.712399784,6.611565261,3.151916389,6.66681709,3.041665882,4.679983413,8.147173623,3.624666377,3.82590264,2.689196594,3.194969891,3.18355473,3.036608916,2.922590704,6.845026236,4.061011397,2.440670368,3.814886903,14.16134131,4.247033798,3.802214679,3.723277593,4.825344409,2.895086953,2.309354775,2.346619598,4.084833646,7.248298836,2.825067392,3.735775828,10.05682856,8.162646756,1.739007683,6.086789511,25.18559249,2.467558006,5.272677436,3.999198981,3.113115975,6.134083511,3.163627714,4.629509486
1991-03-31,2.983395687,7.314223197,2.885633048,6.844175462,2.835116752,2.583594495,2.233115589,12.60473916,1.149533511,12.15605961,1.344375031,5.085248249,8.768978598,4.255094899,5.276144065,3.326768097,29.25870351,1.985207634,6.658364573,2.825359917,1.518644348,2.756996977,2.931345637,6.435205659,3.064405198,2.535469476,4.545249298,2.569844424,2.04673238,3.733854262,2.629124505,1.915513134,2.145473386,4.397477457,3.88332659,32.89834911,8.389141111,3.773971401,6.861212969,2.982857033,6.594215301,2.965033491,4.491109967,8.794252726,3.880729153,4.486510237,2.777014205,3.426443561,3.206004582,3.144264825,2.96918866,7.348242195,4.308781571,2.673996413,3.743337562,15.17292597,4.197199187,4.191616103,3.505839229,4.627000359,2.989814637,2.323499277,2.56026627,4.226699927,8.118210692,2.84667223,3.670233516,10.78891093,7.703045729,1.751156635,6.160627364,35.05025104,2.522624222,5.823811152,4.204958804,3.200596153,7.057766751,3.170822608,4.912218564
1991-06-30,3.074642364,6.737633366,2.796432694,6.507941875,2.629426575,2.291309618,2.166514113,15.38604825,1.284214401,8.126307323,1.337812734,5.394718036,10.08626354,4.227703703,6.091743359,3.185329338,24.97077613,1.319907442,6.325408606,2.954291551,1.522451622,2.912460403,2.376358296,5.562369667,3.227784018,2.525434978,4.56159634,2.498676358,2.172029365,3.838081568,2.692896132,1.701694654,1.915902591,4.384278111,3.595118516,28.05356299,8.820134433,3.41651277,10.41733805,4.044706294,7.623729122,2.9346543,4.63277718,10.58300361,4.097379462,4.215064001,2.663253299,3.400465148,3.250450223,3.034553532,2.911175618,8.432205164,4.555578053,2.711530931,4.166651636,15.49297292,4.171100972,4.485788055,3.660252461,4.062820178,3.01520268,2.351925845,2.660604044,4.341431274,7.803944517,3.20500191,3.505384859,11.30390979,8.360976864,1.621054495,6.082032002,25.78132497,2.408898909,6.011820248,4.253004693,3.296067228,7.276422119,3.07941289,4.802115014
1991-09-30,2.95629735,6.83983856,2.728083554,7.039532029,2.373166717,2.164624535,2.04768286,14.48443679,1.195258492,8.636311319,1.293932563,5.194671689,10.11656599,4.315898007,6.984858842,3.407583629,30.49009448,5.607520501,8.138665461,2.941831188,1.684553617,3.13299966,2.03393239,6.610645063,2.123882991,2.535592934,5.509696847,1.905562845,2.267753245,3.883000635,2.426502608,1.774146995,1.980339509,4.360162532,3.683655402,33.49629483,7.226046865,3.163078372,11.33664117,4.923001182,9.144211592,2.832350053,4.017724957,11.86799021,3.709405234,3.934894567,2.686680348,2.943870577,3.044682618,2.710883173,2.784633395,7.367115582,4.700386085,2.5055398,4.054752689,15.96124856,3.966324664,4.158104807,4.212645265,3.209319616,2.857638859,2.250509017,2.660403885,4.713519732,6.025276778,2.707036941,3.769264588,11.84004233,8.97342421,1.765256959,5.789214405,23.19323683,2.292364759,6.209684206,4.143692931,2.921949862,8.358870314,3.115624915,3.491205517
1991-12-31,2.838965994,7.483632485,2.422140591,7.687243491,1.827901692,2.156184667,1.76510343,19.26592942,1.322139262,6.002766362,2.309126395,5.573879153,11.33279782,4.383451956,6.639937386,3.812406454,47.78274905,11.28955511,6.736331968,2.980127654,1.614838764,3.375280051,2.162961684,8.248819906,2.452203672,2.328619261,5.087766914,1.968396738,2.176281962,4.269511674,2.624710584,1.722203272,2.160388353,4.929997688,3.830120498,36.84999879,8.595819006,3.228406114,12.73772273,5.909162997,10.22606206,3.266110498,4.11135236,12.22068319,3.950119597,3.97905502,3.413761243,3.347365007,2.969913173,2.883922656,3.246811728,9.225793971,4.893234008,2.56747425,5.152751725,21.52636843,4.543857738,4.530259302,4.308812903,3.538566497,2.934544561,2.124663932,3.360617466,4.574143486,7.86295119,2.682590402,4.47466733,13.85708358,7.306799218,1.800644933,4.669382957,27.49566951,2.129758703,6.509144192,4.121500415,2.976258142,6.992271565,3.942830117,4.311493323
1992-03-31,2.71135291,6.93958634,2.260891042,7.818353578,1.884330372,2.403992318,1.589889749,17.57065098,1.208613118,5.952593052,1.863142599,4.889087048,11.92867454,4.645395293,6.386269699,3.917633726,38.75595444,12.48165848,4.034629288,3.045304222,1.753454452,3.481156332,2.199713667,10.89783138,2.52036691,2.747659524,5.95982151,2.21067976,2.110904184,4.723867559,2.458698731,1.75469379,2.16899189,5.83486472,4.090712357,41.54455672,8.091609578,3.419224724,6.567578741,4.71640743,9.19674482,3.208035853,3.811664355,9.424296031,3.874043255,4.056580619,3.30200227,3.390759125,2.978505766,2.949762945,3.298564955,8.537198,4.868433417,2.848968456,4.477721221,19.77532545,4.152503996,5.227323796,4.027819367,3.380112897,3.160717136,2.283183809,2.777917216,4.386314655,6.661898694,2.182054365,4.25509543,12.95041803,7.470429012,1.629909362,5.355604903,33.95362667,2.249681294,6.644769476,4.083722728,2.862942582,7.034019003,4.145642423,3.831575264
1992-06-30,2.726496993,5.827075546,2.280649482,7.131196012,2.050657469,2.544808262,1.617115485,15.95397036,1.312589765,5.950370258,2.296818107,5.052281391,12.52951025,4.685874621,6.5642898,3.581677552,35.39440941,1.403785787,2.509205973,2.953768263,1.654482839,3.179311163,2.199629699,25.8838168,3.104299549,2.679894748,5.520518035,2.102097385,2.110165883,5.079809947,2.393805712,1.780566073,1.611073264,5.820610471,4.001553307,29.27919032,7.742472964,3.306845855,8.729675016,4.361608117,8.883050199,3.323173852,4.248557568,11.80827815,3.714897828,3.833026044,2.900576408,2.740220495,2.920050028,2.944975849,3.288636674,7.124966385,4.745604932,2.84310908,4.523442776,21.36269371,3.643640622,4.751472799,3.926603654,3.424908793,2.95991512,2.124878158,2.88478386,4.065779672,6.014241105,2.434129638,4.175433426,10.83637783,6.753240268,1.550431948,5.7590675,27.75984372,2.262073755,6.477810827,4.092456256,2.78331966,5.630283641,3.905595537,3.574954658
1992-09-30,2.803305498,5.848587679,2.381517174,7.635407071,1.700864621,2.816708834,1.687686847,14.19635977,1.280486954,5.982659224,2.022670673,5.235625069,11.09747212,4.538529342,7.127645059,3.439469299,28.72381667,1.437425869,2.14400527,2.957410106,1.837182079,3.168393058,2.183591911,14.02436466,3.567625489,2.834375482,6.370494235,2.11945392,2.113743008,5.230443725,2.550426029,1.921983684,1.899467805,6.086585866,3.657471952,33.70712061,6.865915824,3.372018042,9.597064082,5.687214528,11.2498363,3.827617098,4.111343287,12.02142751,4.155404987,4.019850752,3.4833359,2.824495099,2.973444658,2.735842552,2.91502432,7.929264318,5.236329441,2.95466266,4.456933915,27.95246335,3.633949694,3.819751441,4.106823157,4.572734824,2.854954087,1.973644025,3.125344293,4.121651283,5.834733605,2.385553308,4.463056771,10.16938091,7.401724219,1.702459234,6.058934426,30.33352229,2.239377434,6.859596021,4.802377627,2.72341958,6.013945891,5.198986896,3.02558916
1992-12-31,2.875129292,5.468136108,2.417518388,6.807219143,1.103891491,2.957250482,1.856784122,14.07903138,1.247625874,6.998995667,3.559606454,5.366660082,12.32562709,5.265647445,7.035508716,3.409834877,37.79148729,1.535912291,3.301288576,2.741522869,1.881152899,2.675381614,1.919287448,23.56739965,4.317865631,2.887082844,8.077824386,2.137494517,2.004949983,5.664055527,2.911624069,1.980125294,2.095476586,6.518769716,4.208589413,33.71471126,7.728827129,3.707962185,10.8477738,7.356733208,9.719157449,4.565496217,4.702956556,11.14861747,4.752594971,4.696504968,3.919930866,3.396462476,3.159957613,2.986388143,3.10075942,6.847196208,3.832639694,2.964113264,5.203940487,23.80206169,3.765503008,4.062880902,4.240441753,3.965293911,2.873590893,1.890314795,3.76878936,4.129697274,7.313502057,2.143426407,4.825551765,10.03166908,7.123016555,1.868095584,5.254635552,31.10220814,2.26943525,7.276984871,4.839207288,2.829963654,6.922951864,4.597157331,5.528240934
