Phase,Year_Week,R1-RF,R2-RF,R3-RF,CMA,CRD,EG,HML,IA,LIQ,ME,MOM,Mkt-RF,RMW,ROE,SMB,PC1,PC2,PC3,PC4,PC5,PC6,PC7
Expansion,1991-45,0.7119537824767264,0.9786787477603642,1.2311001590533888,-0.2300008752604054,1.7639092247127677,-0.6789,-0.0206664409862611,0.1684,1.6182149935240586,0.6076,1.2051483004988262,0.6063148002893204,-0.2903532323186741,0.3037,0.1685204337007695,-2.1821207418542925,0.27199637132673843,-0.3000042567534569,0.07272575312904915,0.8466044802347962,-0.14105928204048312,0.11124566974920008
Expansion,1991-46,-1.1876779858889908,-1.4795289991337834,-2.0468691757599133,0.4168018055457301,0.115686481095234,0.2564,0.1127023529215565,0.4531,-2.5482111585644063,0.0699,-0.4110022546176317,-2.5553364368970044,1.003370582272578,0.9595,0.0589360276227468,3.2493454272194104,0.612110958913186,-2.4163090027647636,0.7979002549975098,-0.07354640410105731,-0.08262310382854797,-0.5742515679129265
Expansion,1991-47,-2.764143263383745,-2.6977230559993126,-2.557593441301897,-0.3510417076479921,3.741018021268405,0.3515,-1.3363960374562112,-0.291,-0.6122672067482404,-0.4808,0.7549426428771433,-1.7541639766203487,0.5588952083361409,1.0881,-0.6438356498450037,-0.45588858847602964,3.2026334343762923,-2.258853924248625,2.0486098603541243,0.2762105907358868,-1.0009856347170136,-0.2623359423044973
Expansion,1991-48,-0.4451101981471361,-0.673240173043077,-0.7621086642785824,-0.2602633283826372,0.3199226301844549,0.5365,-0.5100143032984117,-0.3932,-0.6059366314054793,-0.51,0.4099685016995202,-0.2319267333340091,-0.2800186162739027,0.9465,-0.605185665184016,0.6298934474648055,1.2288894656994696,-0.4294349919093581,0.014924587308530298,-0.6697541562471462,-0.2162875016260838,0.4901360687450709
Expansion,1991-49,0.4357274782568421,0.1872407544394327,-0.1204435620995481,-0.9882202464841504,5.208498858260513,-0.3102,-2.5243310509343475,-0.4444,-0.5919565320348874,-0.1499,3.168164942041485,1.144770186361033,0.9321509807164396,2.3313,-0.4094941338475766,-3.3205555672764455,5.40727904871487,-2.3831848890274183,-0.1544237270979934,0.11305881448718114,0.09883314672980349,-0.7410504541042267
Expansion,1991-50,0.4864385725753317,0.5365298143321873,0.4237214715879567,-0.5499597318022964,1.8514396980304992,-0.3526,-0.3505596777943598,-0.613,-1.1088083358789746,-0.6161,0.9409657409327644,1.098688192096953,1.3460600279478818,1.9005,-1.027154881307979,0.050260875317202414,3.280209293388251,-0.2670831828996148,-0.5432273673427551,0.051577746627190044,0.8098094304813779,-0.5479177127176817
Expansion,1991-51,-0.6121915290917768,-0.4557515125825362,-0.1860659841279366,-0.521482148401553,0.0750867326714477,0.5414,-1.4191129706843997,-0.4832,-3.4263365348753405,-0.6572,0.2778845681202568,0.3535103427332542,1.094489382355479,1.5602,-0.9356967278970284,2.3643866329263306,2.9707433055772015,-0.9438991330489988,-1.0084885361208402,-1.9438168042848993,0.47933879325036466,-0.7586302613568374
Expansion,1991-52,4.854860381332382,5.322207580571581,5.887928345329052,-0.4894807841951398,1.8049410538058863,0.0157,0.7880983148546239,-0.39,3.3649070952854965,-0.3193,1.567790217493581,5.199870672847351,0.5710766731999994,0.9026,-0.4292718772347936,-4.225731002783299,1.6614766144896227,3.3462128472395283,-1.8675845667655175,1.5239633611445247,1.6694374029600447,0.020236874472177202
Expansion,1992-01,3.807148418090822,4.360415221481917,4.970637231017383,0.3001249999999844,1.1987407538083694,0.3155,0.7711760000000067,-0.1647,1.1163768849041134,0.8945,-1.1308400000000107,0.4494500000000068,-0.4295500000000007,-2.2539,0.6502439999999998,-0.9502681403660407,-1.5534839403072422,0.6971719958541944,0.9233994693987824,0.1601251832135026,-1.1832294197950561,-1.3198147532799214
Expansion,1992-02,1.1149297712720996,2.2491353389543,3.3280416637085253,-0.0707349389824085,2.7068779932457376,-0.4773,-0.9116566039589102,-0.8553,7.5548381117297,4.3146,1.849856213654944,0.0270080079253665,-0.4110148588392648,0.4581,4.029727156425356,-7.959442511553633,-3.5758858233718813,-1.649055195217914,2.792785968532571,1.6185510217502228,2.6182508489402223,0.8005771348562698
