Year_Month,Mkt-RF,SMB,HML,RMW,CMA,RF,MOM,ME,IA,ROE,EG,CRD,LIQ
1990-10,-1.92,-5.12,0.1,2.97,-0.3,0.68,6.71,-5.0423,0.2605,2.077,3.0536,6.744618463458063,-0.056635346235867
1990-11,6.35,0.07,-3.1,0.65,-4.74,0.57,-5.48,0.4489,-3.9833,1.5215,-0.8312,5.472915952065249,9.093931124047284
1990-12,2.46,0.67,-1.7,2.73,-1.89,0.6,0.29,1.3158,-1.9466,3.8535,1.4665,4.29749348600954,4.487512444309494
1991-01,4.69,3.91,-1.6,1.28,-3.99,0.52,-6.45,3.3624,-3.9503,0.1591,1.5865,8.911818288088114,13.0487762477004
1991-02,7.19,3.94,-0.58,-0.2,-0.33,0.48,-4.61,3.6299,0.1463,-1.2402,-0.6779,2.519072085425833,1.0941682538481157
1991-03,2.65,3.83,-1.39,-0.53,-1.06,0.44,2.87,3.9312,-0.9285,1.6779,0.0366,3.982961129523832,2.045482702231438
1991-04,-0.28,0.31,1.5,0.62,0.74,0.53,-2.36,-0.7093,0.4677,1.3981,0.6157,-0.0658808139901934,-1.2426705732654808
1991-05,3.65,0.14,-0.52,2.0,-2.43,0.47,-0.11,-0.5648,-1.9526,-0.7118,-1.0619,5.353834050170581,5.013104047638817
1991-06,-4.94,0.24,1.15,1.79,0.65,0.42,0.47,0.0591,0.6135,1.3683,0.4831,-2.3807410887888625,-5.711036177302919
1991-07,4.24,-0.96,-1.32,1.6,-1.36,0.49,4.32,-0.5405,-0.6418,3.0468,0.3864,5.5456166816658214,2.5729376302079388
1991-08,2.32,1.4,-0.78,0.84,-0.34,0.46,1.57,1.2962,-0.0359,1.1586,-0.2496,13.020890370457682,4.061817219648867
1991-09,-1.59,1.56,-1.08,-1.82,0.08,0.46,1.79,1.812,-0.8242,-0.3644,0.2084,-2.3688040463560767,-2.0996514453912707
1991-10,1.29,0.91,-0.47,-1.7,-0.23,0.42,3.06,0.548,1.3518,-0.0451,3.2018,3.117699814532271,6.094848150289689
1991-11,-4.19,-0.83,-1.89,1.11,0.01,0.39,1.14,-0.2929,0.3063,3.2845,0.3457,6.345119397360155,-2.1756023638770716
1991-12,10.84,-2.4,-4.17,3.55,-3.12,0.38,8.19,-1.4813,-2.0278,6.7592,-0.4648,10.82452844126638,-1.209649870856866
1992-01,-0.59,9.18,4.71,-1.32,3.2,0.34,-2.49,8.3447,1.5044,-4.0675,1.5419,1.7399367399200116,13.658212889818078
1992-02,1.09,1.33,6.47,0.08,2.19,0.28,-0.53,1.4019,2.2609,0.7464,2.2092,0.1555531340860172,3.5108682786069156
1992-03,-2.66,-0.93,3.56,-0.01,1.95,0.34,-0.29,-1.1984,2.0114,1.0075,2.0118,-1.833248342160021,-6.704736278979395
1992-04,1.07,-5.7,4.34,1.69,2.23,0.32,-2.58,-6.9392,1.8032,-1.7011,2.0023,-3.6911465887082606,-3.083071351148625
1992-05,0.3,0.21,1.19,-0.95,0.48,0.28,0.21,-0.26,0.2946,-0.2076,-0.7499,6.959829630169634,0.7438999157799664
1992-06,-2.34,-2.73,3.24,-0.05,1.01,0.32,-0.58,-2.6362,0.6498,1.0499,0.7786,0.159529796530955,-3.356872046721404
1992-07,3.77,-0.62,-0.56,1.3,-0.91,0.31,1.56,-0.8431,0.3915,2.5486,-0.024,1.0075377839836586,2.3663076501410307
1992-08,-2.38,-0.42,-1.1,3.72,-1.65,0.26,-0.51,-0.3027,-0.7708,1.5206,-0.8624,4.815068079407259,-1.0195423682940574
1992-09,1.19,0.48,-0.26,1.64,-0.59,0.26,1.49,0.6797,-0.3975,2.3975,-0.8276,3.904522847818459,2.825536638579096
1992-10,1.02,2.07,-1.98,1.24,-0.79,0.23,2.48,1.5547,-0.3589,2.1272,0.61,5.857505249401629,8.84428880235697
1992-11,4.13,3.94,-1.35,-0.68,-1.59,0.23,-0.15,3.6882,-1.1712,0.9448,-0.1423,0.6836201133859854,5.7943795080423355
1992-12,1.53,1.68,2.62,-0.48,0.84,0.28,4.31,2.743,1.4108,1.8297,1.04,1.2088164801172585,0.5107016524133812
1993-01,0.93,1.93,5.94,-1.84,2.91,0.23,4.83,2.3197,2.9827,-1.4431,0.0495,3.286080516151002,6.143834515012725
1993-02,0.12,-3.45,6.42,-0.42,4.13,0.22,3.14,-3.3152,3.6569,-1.4786,2.1469,-4.156671962925462,-4.166854087182214
1993-03,2.3,0.09,1.18,-0.15,0.9,0.25,3.73,-0.0141,0.9273,1.7906,0.5639,4.143410265416536,0.0383930720688763
1993-04,-3.05,-0.85,2.49,-3.61,1.38,0.24,0.38,-1.1434,1.201,-3.0656,1.9917,-2.497388822172264,-2.3456860002001756
1993-05,2.89,1.9,-3.42,-0.12,-1.04,0.22,0.22,1.8045,-0.8479,-0.5601,-0.273,4.960155953490908,8.520694450543886
1993-06,0.31,0.13,2.75,-0.92,1.21,0.25,4.55,1.5893,1.8188,3.004,1.4634,-2.6983293462810476,0.7676243392209514
1993-07,-0.34,0.95,2.85,-1.87,2.06,0.24,3.16,1.3909,1.4591,-0.5623,0.8502,-1.8980602195555196,1.3751423842653487
1993-08,3.71,0.1,0.13,-1.54,-0.04,0.25,2.65,-0.019,-0.0614,0.4572,0.7642,0.5205608744005996,4.608177375801281
1993-09,-0.12,2.98,-0.31,0.24,-0.16,0.26,3.37,3.1054,0.2696,0.9427,1.3638,2.884768608726574,4.17868114286335
1993-10,1.41,1.89,-2.76,0.57,0.6,0.22,-2.72,0.4216,-0.5641,-1.4093,-1.4198,-0.322115817777846,1.2457815593378552
1993-11,-1.89,-1.27,-0.74,2.23,-0.94,0.25,-4.74,-1.8618,-0.7507,-0.7095,0.1379,2.70261572444066,3.3457862331193855
1993-12,1.65,1.4,0.32,1.16,-0.34,0.23,2.36,2.1125,-0.2555,2.3869,2.2733,-2.3041358890527053,-0.207307046012195
1994-01,2.87,-0.06,1.15,-1.66,1.43,0.25,0.0,0.159,1.1272,-0.922,0.9311,3.897127461831018,9.3268320538487
1994-02,-2.55,2.67,-1.54,2.14,-1.0,0.21,-0.3,2.6526,-0.4691,2.6619,1.598,3.73723094939975,5.7750165456530445
1994-03,-4.78,-1.04,1.6,0.69,1.28,0.27,-1.27,-0.9378,0.9681,0.2218,1.3513,1.4250815665735272,1.5610094650617246
1994-04,0.68,-1.01,1.66,1.07,1.11,0.27,0.39,-0.819,1.2741,1.529,1.5131,2.575662279279056,-0.1265284576220882
1994-05,0.58,-2.56,0.67,0.6,0.68,0.31,-2.19,-1.9848,0.512,-0.7588,1.4199,0.770925309920556,-1.5862905375770286
1994-06,-3.03,-0.5,1.67,1.21,1.47,0.31,-0.87,-0.8441,0.9202,0.1932,1.3288,-3.3448876604309175,-0.7372665706571024
1994-07,2.82,-1.85,0.58,-0.65,0.14,0.28,0.18,-1.4321,0.4259,0.7148,-0.0945,-3.741503162664928,-1.6062950009669177
1994-08,4.01,1.37,-2.51,0.95,-1.47,0.37,1.55,2.0904,-0.6915,2.061,2.6805,5.388256267947544,6.121481082977009
1994-09,-2.31,2.8,-1.89,0.52,0.93,0.37,1.31,2.2081,0.5879,1.0911,0.9738,2.0915833120396465,0.578867558445606
1994-10,1.34,-2.3,-1.62,0.23,-0.68,0.38,1.49,-1.8201,0.1613,0.3556,2.448,5.2747556624840986,2.7644388227101357
1994-11,-4.04,0.07,-0.7,0.42,-0.5,0.37,-0.18,0.5354,-1.0042,1.3703,1.4457,5.069328683320351,0.8404963539789145
1994-12,0.86,0.0,-0.13,0.37,0.38,0.44,3.48,1.1739,1.2933,3.9844,3.7209,-0.3192444968756369,-3.640147651361691
1995-01,1.8,-3.06,2.57,0.17,-0.75,0.42,-1.81,-2.4308,-0.0027,-0.063,1.1177,1.861110599851323,0.0170557371322432
1995-02,3.63,-0.54,1.08,0.59,-0.33,0.4,-0.39,-0.6967,-0.8485,0.5097,1.2099,2.8423882400282707,2.4127505509701885
1995-03,2.19,-0.51,-2.15,-0.17,0.22,0.46,0.43,-1.2145,0.1685,1.2654,0.7805,3.834714908188319,2.1712374098660447
1995-04,2.11,-0.22,1.71,0.41,0.9,0.44,1.79,-0.0076,0.0068,0.142,3.4497,1.004048050387918,2.504627686726524
1995-05,2.9,-2.19,2.29,0.39,0.04,0.54,-0.42,-2.2038,0.8586,-1.0066,1.4624,-0.8499719897440805,2.214564845232503
1995-06,2.72,3.06,-2.54,-0.33,-2.44,0.47,2.93,3.219,-1.7465,2.1275,1.8099,7.692012593753672,5.75648301549212
