Year_Month,RF_HXZ,Mkt-RF_HXZ,ME,IA,ROE,EG
1967-01,0.3927,8.1852,6.8122,-2.9263,1.8813,-2.5511
1967-02,0.3743,0.7557,1.6235,-0.2915,3.5399,2.1792
1967-03,0.3693,4.0169,1.9836,-1.6772,1.8417,-1.1192
1967-04,0.3344,3.8786,-0.67,-2.8972,1.0253,-1.6371
1967-05,0.3126,-4.2807,2.7366,2.1864,0.6038,0.1191
1967-06,0.2674,2.4199,6.2752,-2.0958,0.4116,-0.2834
1967-07,0.3153,4.5784,3.1053,2.3351,-0.5943,-0.1601
1967-08,0.324,-0.9048,0.3722,1.9161,-0.6134,0.063
1967-09,0.3177,3.1074,1.8017,-0.4057,0.7524,-0.9213
1967-10,0.3649,-3.0491,0.749,-2.4302,3.2851,0.224
1967-11,0.3416,0.3765,-0.0333,-2.7632,0.6936,0.0395
1967-12,0.3565,3.0233,4.5015,0.1486,0.7001,1.7035
1968-01,0.3934,-4.0255,5.1731,4.732,-2.922,0.9691
1968-02,0.3849,-3.7294,-1.8884,2.4577,-0.5038,2.9672
1968-03,0.3977,0.188,-1.951,-0.7337,1.9245,1.4344
1968-04,0.4263,9.0295,5.4582,-2.6749,3.6776,-1.8747
1968-05,0.4672,2.2564,6.7203,-2.2351,2.0131,-0.2809
1968-06,0.4436,0.6745,-0.4046,2.4165,-0.3072,0.0598
1968-07,0.479,-2.6873,-1.1928,2.7389,-1.9663,3.6103
1968-08,0.4476,1.3272,2.1751,0.643,-0.6662,1.5939
1968-09,0.4203,4.0566,1.4385,-0.5693,-3.4099,-1.082
1968-10,0.4394,0.4255,-0.6355,2.6082,0.4414,2.4953
1968-11,0.4457,5.4064,2.7157,-1.3424,-0.4038,-0.9692
1968-12,0.4249,-3.9304,2.9681,2.651,-0.6141,-0.4851
1969-01,0.5025,-1.2291,-0.3821,1.2085,-0.1173,0.2955
1969-02,0.4619,-5.8496,-3.8586,0.7873,0.9745,2.2835
1969-03,0.4802,2.66,-0.3377,0.5026,2.0353,2.5602
1969-04,0.4859,1.5003,-0.186,0.5287,2.0202,-0.1537
1969-05,0.5215,-0.1257,0.1945,1.5413,0.1962,0.2109
1969-06,0.5137,-7.1923,-4.7563,-0.6301,3.3315,2.5267
1969-07,0.552,-7.0331,-2.8952,1.9907,2.0776,3.6224
1969-08,0.589,4.6007,0.9925,-2.654,0.5167,-2.0271
1969-09,0.5856,-2.9387,0.6882,0.0431,1.7208,2.6463
1969-10,0.5724,5.081,2.9754,-1.4818,-1.4493,-1.6776
1969-11,0.5509,-3.8235,-2.0435,0.2112,2.8535,2.3906
1969-12,0.5846,-2.5834,-3.6947,-0.6363,3.463,1.7306
1970-01,0.5781,-8.0676,3.6617,3.8252,-0.741,3.52
1970-02,0.6167,5.0779,-2.4032,1.6171,-2.2721,-0.2221
1970-03,0.5542,-1.0373,-1.4167,3.3852,-0.9683,3.2222
1970-04,0.5286,-11.0383,-4.5676,5.2928,0.1614,5.757
1970-05,0.5546,-6.9458,-3.3976,3.2098,0.1132,3.9522
1970-06,0.5546,-5.7634,-2.1125,3.6689,2.4483,4.3742
1970-07,0.4886,6.949,-0.6124,2.6318,-0.3288,-0.9592
1970-08,0.502,4.5098,0.714,-0.8617,-3.2704,-2.1536
1970-09,0.5034,4.2154,7.2316,-4.5548,-1.3443,-5.5793
1970-10,0.4954,-2.3108,-3.1548,2.9696,5.4758,4.1378
