Date,RF_HXZ,Mkt-RF_HXZ,ME,IA,ROE,EG
1967-01-06,0.0747,2.2823,1.2668,0.4269,-0.5084,-1.1172
1967-01-13,0.0934,2.9326,1.4232,-0.3834,0.7606,0.8189
1967-01-20,0.0934,1.8872,1.2531,-1.6048,0.3933,-1.1684
1967-01-27,0.0934,0.3518,1.7395,-1.5365,1.2813,-0.2194
1967-02-03,0.0964,1.3707,0.9202,0.5815,0.2693,-0.0917
1967-02-10,0.0984,0.394,0.022,-0.1593,0.6905,1.0164
1967-02-17,0.0984,0.5081,0.5142,0.0881,-0.1281,0.0159
1967-02-24,0.0787,-0.3051,0.9314,-0.1661,1.4194,0.0557
1967-03-03,0.0896,0.9387,0.1747,-0.9846,1.7399,0.3934
1967-03-10,0.0838,0.8557,1.2312,-1.3844,0.9348,-0.488
1967-03-17,0.0838,1.3307,-0.7701,-0.5092,-0.1388,-0.8677
1967-03-23,0.067,0.669,0.5067,0.2945,0.2635,0.2611
1967-03-31,0.0838,-0.5676,0.5585,0.7945,0.0115,0.237
1967-04-07,0.0835,-0.9132,0.1402,0.336,-1.296,-0.6163
1967-04-14,0.0835,1.0099,-0.7225,-1.3112,0.5555,0.3223
1967-04-21,0.0835,2.0707,0.1864,-0.8918,0.4937,-0.2696
1967-04-28,0.0835,1.6782,-0.1945,-0.9635,1.2258,-1.0533
1967-05-05,0.071,0.65,1.4486,0.1173,0.1429,-0.5461
1967-05-12,0.071,-0.6814,0.8675,0.038,-0.2374,-0.284
1967-05-19,0.071,-1.1225,1.5401,0.9464,-0.3195,-0.7244
1967-05-26,0.071,-1.0822,-0.2705,0.3009,0.7033,1.0912
1967-06-02,0.0527,-1.3718,-0.329,0.7307,0.3492,0.2488
1967-06-09,0.0607,2.0421,0.5106,-0.892,0.2964,-0.1724
1967-06-16,0.0607,1.272,2.4,-1.2838,0.7113,0.3418
1967-06-23,0.0607,-0.3803,1.8619,-0.1032,0.2484,-0.3299
1967-06-30,0.0607,-1.2769,0.8591,0.3954,-0.8398,0.0871
1967-07-07,0.063,1.2936,0.6499,-0.4588,1.0557,0.2118
1967-07-14,0.0787,1.2856,1.2891,0.2682,-0.2476,-0.8156
1967-07-21,0.0787,1.0502,-0.0197,3.0855,-0.3655,0.2805
1967-07-28,0.0787,0.5827,0.9368,-0.7179,-0.885,0.1788
1967-08-04,0.072,1.3294,-0.4791,-0.0224,-0.5092,-0.8735
1967-08-11,0.0703,-0.7051,-0.1112,1.4432,-0.0802,0.3662
1967-08-18,0.0703,-0.3491,0.2805,0.7857,-0.1261,0.5496
1967-08-25,0.0703,-2.0745,0.1395,-0.0259,-0.0463,-0.028
1967-09-01,0.0721,1.3642,1.0992,-0.5762,-0.1256,0.2881
1967-09-08,0.0635,0.6584,0.3731,0.3385,0.1435,-0.2571
1967-09-15,0.0793,1.8299,0.1027,0.9964,0.1211,-1.153
1967-09-22,0.0793,0.7084,0.5512,-0.3499,0.2157,0.3868
1967-09-29,0.0793,-0.2676,0.2709,-0.9847,0.4764,-0.1684
1967-10-06,0.0828,0.5737,0.7752,-1.181,0.6688,-0.2661
1967-10-13,0.0828,-1.3651,0.9442,0.0665,0.2929,0.4887
1967-10-20,0.0828,-0.7779,-0.9371,-0.4218,1.3831,-0.5284
1967-10-27,0.0828,-0.4557,-0.1021,-1.2267,0.8705,0.1035
1967-11-03,0.0843,-3.2085,0.5504,-0.1156,-0.4842,0.1233
1967-11-10,0.0682,0.3036,-0.6767,0.1988,0.975,0.5907
1967-11-17,0.0853,0.6701,-1.201,-1.5879,-0.1703,-0.3697
1967-11-24,0.0682,1.1664,0.2922,-1.0378,0.2581,-0.1556
1967-12-01,0.086,1.0037,1.5381,0.1332,0.7057,0.3594
1967-12-08,0.089,0.9121,0.5646,-0.5529,1.238,0.818
1967-12-15,0.089,-0.1704,1.6825,-0.3688,-0.5372,-0.0853
1967-12-22,0.089,0.2957,1.2426,1.5575,0.428,0.7018
1967-12-29,0.0712,1.4168,0.4196,-0.5694,-0.8226,0.0827
1968-01-05,0.0714,-0.4774,1.7899,3.1995,-2.5222,0.0944
1968-01-12,0.0893,1.1551,2.3816,-0.4058,-0.0405,-0.9104
1968-01-19,0.0893,-1.1614,2.0039,0.6072,0.6828,1.0031
1968-01-26,0.0893,-2.0331,0.3457,0.7104,-0.1138,0.7954
