Date,RF_HXZ,Mkt-RF_HXZ,ME,IA,ROE,EG
1967-01-03,0.0187,0.0778,0.4891,0.1399,-0.7193,-0.8845
1967-01-04,0.0187,0.1667,-0.3507,-0.0575,-0.2073,-0.041
1967-01-05,0.0187,1.299,0.4395,-0.5716,0.0802,-0.3846
1967-01-06,0.0187,0.723,0.6716,0.899,0.3641,0.2269
1967-01-09,0.0187,0.8439,0.634,0.0353,0.5007,0.2924
1967-01-10,0.0187,-0.0013,0.3068,0.3379,-0.0325,0.1486
1967-01-11,0.0187,0.8376,0.1036,-0.0913,-0.0072,0.2526
1967-01-12,0.0187,0.5415,0.4227,-0.1015,0.0535,-0.1197
1967-01-13,0.0187,0.6773,-0.0907,-0.5529,0.2158,0.2154
1967-01-16,0.0187,-0.1841,0.0825,-0.5365,-0.083,-0.4803
1967-01-17,0.0187,1.1292,0.0606,-0.4699,0.2721,0.0446
1967-01-18,0.0187,0.5212,0.0256,0.037,-0.3158,-0.2243
1967-01-19,0.0187,0.0407,0.3764,-0.452,-0.2741,-0.4777
1967-01-20,0.0187,0.3698,0.6803,-0.1464,0.7823,-0.0023
1967-01-23,0.0187,0.3369,0.6505,-0.4461,0.5674,0.0541
1967-01-24,0.0187,0.2003,0.0177,-0.1989,0.2352,0.1657
1967-01-25,0.0187,-0.6853,0.5339,-0.3958,-0.1219,-0.2924
1967-01-26,0.0187,0.0261,0.4046,-0.2774,0.519,0.3232
1967-01-27,0.0187,0.4771,0.1129,-0.2044,0.0728,-0.4625
1967-01-30,0.0187,0.5615,0.2995,0.362,0.0936,-0.1926
1967-01-31,0.0187,-0.0798,0.2816,0.093,-0.2875,-0.3468
1967-02-01,0.0197,-0.1556,-0.0761,-0.5364,-0.2319,-0.1381
1967-02-02,0.0197,0.3344,0.1387,0.2061,0.3608,-0.0509
1967-02-03,0.0197,0.7047,0.2646,0.4511,0.3386,0.6409
1967-02-06,0.0197,-0.1534,-0.0937,-0.0391,-0.2809,-0.2195
1967-02-07,0.0197,-0.184,0.2634,0.1588,0.2174,0.2085
1967-02-08,0.0197,0.8757,0.0275,-0.2648,0.0227,0.0702
1967-02-09,0.0197,-0.3935,-0.2681,0.1386,0.5027,0.8685
1967-02-10,0.0197,0.2533,0.1002,-0.1521,0.2356,0.0756
1967-02-13,0.0197,0.1353,0.5628,0.0868,-0.1876,-0.2121
1967-02-14,0.0197,0.7307,0.1511,-0.2635,0.322,0.2497
1967-02-15,0.0197,0.0523,-0.3365,-0.0223,0.1776,0.1016
1967-02-16,0.0197,-0.427,0.2593,0.2461,-0.6566,-0.1446
1967-02-17,0.0197,0.0187,-0.1216,0.0414,0.2229,0.0233
1967-02-20,0.0197,-0.5002,0.1688,0.078,0.2771,0.3747
1967-02-21,0.0197,-0.0058,0.4211,-0.1273,0.5696,-0.1402
1967-02-23,0.0197,0.1206,0.2729,0.1216,0.6044,-0.1714
1967-02-24,0.0197,0.0813,0.0706,-0.2441,-0.0324,-0.0089
1967-02-27,0.0197,-1.1023,-0.1798,0.1585,0.0083,0.119
1967-02-28,0.0197,0.3839,0.0027,-0.3221,1.0474,0.4973
1967-03-01,0.0168,0.9833,0.6124,-0.3982,0.2973,-0.0348
1967-03-02,0.0168,0.522,-0.2694,-0.1969,0.3588,-0.2309
1967-03-03,0.0168,0.1598,0.0191,-0.2294,0.0093,0.0378
1967-03-06,0.0168,-0.127,0.3414,-0.0391,0.4049,-0.064
1967-03-07,0.0168,0.1607,0.2924,-0.5391,-0.0252,-0.2522
1967-03-08,0.0168,0.1668,0.203,-0.2955,0.6831,-0.1293
1967-03-09,0.0168,0.2865,0.3123,-0.1515,0.3645,-0.013
1967-03-10,0.0168,0.3659,0.0648,-0.3465,-0.5073,-0.0251
1967-03-13,0.0168,-0.4831,0.0082,0.0001,-0.1561,0.1795
1967-03-14,0.0168,-0.1069,-0.0688,-0.2449,-0.0868,-0.6802
1967-03-15,0.0168,0.8892,-0.4036,-0.8021,-0.3141,-0.375
1967-03-16,0.0168,0.8992,-0.3391,0.1005,0.3036,-0.1179
1967-03-17,0.0168,0.132,0.0377,0.4421,0.1212,0.1382
1967-03-20,0.0168,-0.0121,0.1439,0.1275,0.3278,0.109
1967-03-21,0.0168,-0.2839,0.3145,-0.2771,-0.3752,0.0391
1967-03-22,0.0168,0.2835,0.1956,0.3115,0.3853,-0.2324
1967-03-23,0.0168,0.6821,-0.1531,0.1268,-0.0794,0.3451
1967-03-27,0.0168,-0.0569,0.0156,0.1221,0.3526,0.2273
1967-03-28,0.0168,0.0881,0.08,-0.2917,-0.0243,0.2306
1967-03-29,0.0168,-0.1349,0.3832,0.4719,-0.0507,0.0798
1967-03-30,0.0168,0.041,0.1361,0.2156,0.185,-0.1178
1967-03-31,0.0168,-0.5048,-0.0498,0.2792,-0.4442,-0.1744
1967-04-03,0.0167,-1.1309,-0.1173,0.5535,-1.0097,-0.485
1967-04-04,0.0167,0.0119,0.1793,-0.2555,-0.2001,-0.3388
1967-04-05,0.0167,0.6296,-0.02,-0.0897,-0.0565,0.1497
1967-04-06,0.0167,0.2006,0.201,-0.3198,0.2877,-0.1704
1967-04-07,0.0167,-0.6176,-0.1032,0.4315,-0.314,0.2263
1967-04-10,0.0167,-1.2369,-0.5311,0.1436,-0.5588,0.1377
1967-04-11,0.0167,0.7105,0.0963,-0.4101,0.2771,-0.0258
1967-04-12,0.0167,-0.1055,0.1128,0.1702,0.0353,0.2931
1967-04-13,0.0167,0.6491,-0.1275,-0.6568,0.4438,-0.0723
1967-04-14,0.0167,1.0043,-0.2598,-0.5583,0.3642,-0.0158
1967-04-17,0.0167,0.6385,-0.4705,-0.1497,-0.1439,-0.2457
1967-04-18,0.0167,0.8527,-0.0509,-0.1059,0.5188,0.1549
1967-04-19,0.0167,0.1151,0.1245,-0.0762,0.285,0.2746
1967-04-20,0.0167,0.1915,0.1957,-0.3528,-0.2805,0.029
1967-04-21,0.0167,0.2566,0.3828,-0.1925,0.0998,-0.4785
1967-04-24,0.0167,0.2701,-0.3274,-0.2134,0.3815,0.1855
1967-04-25,0.0167,0.5534,-0.3702,-0.0813,0.0796,-0.0825
1967-04-26,0.0167,-0.1147,0.1615,-0.0191,0.2525,-0.1325
1967-04-27,0.0167,0.8102,0.1076,-0.6464,0.5438,-0.6309
1967-04-28,0.0167,0.1495,0.237,-0.0011,-0.0454,-0.3765
1967-05-01,0.0142,-0.0733,0.3387,-0.2071,0.2293,0.1648
1967-05-02,0.0142,-0.0193,0.4787,-0.4553,0.0132,-0.3583
1967-05-03,0.0142,0.2858,0.4977,-0.0649,-0.0943,-0.3844
1967-05-04,0.0142,0.3332,-0.1416,0.1063,0.1698,-0.2293
1967-05-05,0.0142,0.1222,0.2608,0.7348,-0.1804,0.2702
1967-05-08,0.0142,0.2075,-0.1398,0.3649,-0.1183,0.1183
1967-05-09,0.0142,-1.0403,-0.3412,0.3998,-0.2319,0.5849
1967-05-10,0.0142,-0.1319,0.5749,0.1775,-0.0453,-0.2393
1967-05-11,0.0142,0.4864,0.3642,-0.5173,0.0365,-0.6619
1967-05-12,0.0142,-0.1978,0.4197,-0.3975,0.1285,-0.1001
1967-05-15,0.0142,-0.7359,0.2083,0.6031,0.2859,-0.052
1967-05-16,0.0142,0.4853,0.3915,-0.0128,-0.0373,-0.4996
1967-05-17,0.0142,-0.264,0.4825,-0.1273,-0.5097,-0.0929
1967-05-18,0.0142,-0.1902,0.4158,0.392,-0.1288,-0.0279
1967-05-19,0.0142,-0.4181,0.0516,0.0934,0.0671,-0.0573
1967-05-22,0.0142,-0.3367,0.3384,-0.1012,-0.0293,0.1481
1967-05-23,0.0142,-0.425,0.1078,-0.0299,0.2089,0.1409
1967-05-24,0.0142,-1.1966,-0.5222,0.3582,0.1563,0.7811
1967-05-25,0.0142,0.9941,-0.0736,0.117,0.557,0.0129
1967-05-26,0.0142,-0.1097,-0.1178,-0.0434,-0.1784,0.0084
1967-05-29,0.0142,-0.4753,0.2081,0.1267,0.1162,0.2069
1967-05-31,0.0142,-1.6627,-0.9311,0.7405,0.2243,0.3405
1967-06-01,0.0121,1.183,0.1136,-0.376,-0.0826,-0.1712
1967-06-02,0.0121,-0.4029,0.2961,0.2288,0.0913,-0.1346
1967-06-05,0.0121,-1.6514,-1.2683,0.5558,0.1679,0.1055
1967-06-06,0.0121,2.021,0.6454,-0.4606,0.1072,0.0845
1967-06-07,0.0121,0.8542,0.446,-0.4768,-0.1283,-0.268
1967-06-08,0.0121,0.5734,0.309,-0.5463,0.1213,-0.403
1967-06-09,0.0121,0.2629,0.4166,0.0309,0.0259,0.3065
1967-06-12,0.0121,0.6319,0.4811,-0.1883,0.7703,-0.082
1967-06-13,0.0121,0.6023,0.1237,-0.24,0.2343,-0.3023
1967-06-14,0.0121,-0.1716,0.6623,-0.5922,-0.0462,0.1921
1967-06-15,0.0121,0.1711,0.5701,-0.2733,-0.1227,0.3661
1967-06-16,0.0121,0.0338,0.5121,0.0426,-0.1468,0.1579
1967-06-19,0.0121,0.0336,0.4541,-0.3061,0.3717,-0.2842
1967-06-20,0.0121,-0.0292,0.3048,-0.1125,0.0426,0.0024
1967-06-21,0.0121,-0.2521,0.3264,0.3727,0.1175,0.2203
1967-06-22,0.0121,-0.2032,0.3623,-0.4065,-0.1559,0.0552
1967-06-23,0.0121,0.0705,0.4149,0.3487,-0.125,-0.3238
1967-06-26,0.0121,-0.3994,-0.1851,0.1922,0.2092,0.1298
1967-06-27,0.0121,-0.3399,0.46,0.0055,-0.2002,-0.2464
1967-06-28,0.0121,0.072,0.4095,-0.2443,-0.3381,0.0068
1967-06-29,0.0121,-0.474,-0.0847,0.2409,0.0142,0.3187
1967-06-30,0.0121,-0.1406,0.2665,0.2006,-0.5346,-0.1234
1967-07-03,0.0157,0.3529,0.2658,-0.0652,0.1655,-0.0335
1967-07-05,0.0157,0.5298,0.1769,-0.0894,0.6085,-0.3463
1967-07-06,0.0157,-0.0634,0.0588,0.1368,0.1984,0.4456
1967-07-07,0.0157,0.4686,0.1405,-0.4358,0.0661,0.1411
1967-07-10,0.0157,0.4547,0.2855,-0.2108,0.3353,-0.1837
1967-07-11,0.0157,0.4287,-0.0277,0.4324,0.0204,-0.2035
1967-07-12,0.0157,-0.0324,-0.0213,0.0951,-0.1012,0.0736
1967-07-13,0.0157,0.0599,0.299,0.1001,0.0174,-0.1102
1967-07-14,0.0157,0.3684,0.7396,-0.1561,-0.5166,-0.3801
1967-07-17,0.0157,0.0733,0.4158,0.201,-0.2553,-0.1909
