Date,RF_HXZ,Mkt-RF_HXZ,ME_HXZ,IA_HXZ,ROE_HXZ,EG_HXZ
1967-01-06,0.0747,2.2823,1.2713,0.4183,-0.4978,-0.9548
1967-01-13,0.0934,2.9326,1.4207,-0.3957,0.7648,0.844
1967-01-20,0.0934,1.8872,1.2487,-1.6022,0.3917,-1.1509
1967-01-27,0.0934,0.3518,1.7532,-1.5516,1.295,-0.1513
1967-02-03,0.0964,1.3707,0.9297,0.5923,0.2764,-0.0637
1967-02-10,0.0984,0.394,0.0293,-0.1624,0.6883,1.0438
1967-02-17,0.0984,0.5081,0.525,0.0848,-0.1239,0.0499
1967-02-24,0.0787,-0.3051,0.9287,-0.1574,1.4162,0.0464
1967-03-03,0.0896,0.9387,0.1815,-0.9272,1.7423,0.4113
1967-03-10,0.0838,0.8557,1.2357,-1.4025,0.9348,-0.4564
1967-03-17,0.0838,1.3307,-0.7776,-0.4899,-0.1388,-0.8546
1967-03-23,0.067,0.669,0.4987,0.2883,0.2635,0.3147
1967-03-31,0.0838,-0.5676,0.5826,0.6944,0.0115,0.219
1967-04-07,0.0835,-0.9132,0.134,0.3555,-1.2186,-0.5928
1967-04-14,0.0835,1.0099,-0.7196,-1.2842,0.5237,0.2327
1967-04-21,0.0835,2.0707,0.1876,-0.905,0.5031,-0.3315
1967-04-28,0.0835,1.6782,-0.2128,-0.9774,1.1991,-1.0101
1967-05-05,0.071,0.65,1.416,-0.013,0.2062,-0.526
1967-05-12,0.071,-0.6814,0.8944,0.1945,-0.3178,-0.3316
1967-05-19,0.071,-1.1225,1.6274,1.2029,-0.3014,-0.7293
1967-05-26,0.071,-1.0822,-0.2779,0.2946,0.7551,1.1136
1967-06-02,0.0527,-1.3718,-0.2224,0.8705,0.3417,0.3146
1967-06-09,0.0607,2.0421,0.4221,-1.0185,0.2381,-0.2527
1967-06-16,0.0607,1.272,2.3451,-1.34,0.67,0.2738
1967-06-23,0.0607,-0.3803,1.9159,0.0137,0.2858,-0.2549
1967-06-30,0.0607,-1.2769,0.8412,0.3607,-0.8301,0.0067
1967-07-07,0.063,1.2936,0.6135,-0.4543,0.9889,0.1351
1967-07-14,0.0787,1.2856,1.2561,0.2539,-0.2379,-0.6686
1967-07-21,0.0787,1.0502,-0.0224,3.0881,-0.3715,0.2422
1967-07-28,0.0787,0.5827,0.9636,-0.7067,-0.8569,0.131
1967-08-04,0.072,1.3294,-0.451,-0.0023,-0.5038,-0.7617
1967-08-11,0.0703,-0.7051,-0.1282,1.4094,-0.1113,0.4458
1967-08-18,0.0703,-0.3491,0.2905,0.8272,-0.1308,0.5429
1967-08-25,0.0703,-2.0745,0.1703,-0.0342,0.0199,0.0164
1967-09-01,0.0721,1.3642,0.9234,-0.7469,-0.2529,0.0942
1967-09-08,0.0635,0.6584,0.3832,0.384,0.1512,-0.1151
1967-09-15,0.0793,1.8299,0.0669,0.9919,0.0722,-1.1142
1967-09-22,0.0793,0.7084,0.5123,-0.3344,0.195,0.4295
1967-09-29,0.0793,-0.2676,0.294,-0.9566,0.4969,-0.1021
1967-10-06,0.0828,0.5737,0.7713,-1.1447,0.6766,-0.2544
1967-10-13,0.0828,-1.3651,0.9482,0.1587,0.246,0.454
1967-10-20,0.0828,-0.7779,-0.9154,-0.427,1.3869,-0.5245
1967-10-27,0.0828,-0.4557,-0.1205,-1.2557,0.8421,0.0545
1967-11-03,0.0843,-3.2085,0.6236,-0.1713,-0.475,0.2473
1967-11-10,0.0682,0.3036,-0.6575,0.1728,0.9541,0.4845
1967-11-17,0.0853,0.6701,-1.1327,-1.6264,-0.1723,-0.2957
1967-11-24,0.0682,1.1664,0.4083,-0.8964,0.3643,-0.0483
1967-12-01,0.086,1.0037,1.4311,0.0677,0.6449,0.3985
1967-12-08,0.089,0.9121,0.6247,-0.4839,1.2636,0.737
1967-12-15,0.089,-0.1704,1.7604,-0.2873,-0.4491,0.1123
1967-12-22,0.089,0.2957,1.1557,1.4856,0.3765,0.5609
1967-12-29,0.0712,1.4168,0.4377,-0.5375,-0.7813,-0.0884
1968-01-05,0.0714,-0.4774,1.7832,3.0371,-2.5095,0.0367
1968-01-12,0.0893,1.1551,2.3916,-0.3316,-0.0041,-0.8692
1968-01-19,0.0893,-1.1614,2.0491,0.5412,0.6865,1.1943
1968-01-26,0.0893,-2.0331,0.4244,0.7771,-0.0231,0.8098
1968-02-02,0.094,-1.5862,-1.2665,0.9531,-1.3898,0.4738
1968-02-09,0.1011,-2.8336,-1.8493,1.3797,-1.0028,1.4325
1968-02-16,0.0809,0.031,0.13,0.5764,0.5984,0.6744
1968-02-23,0.0809,0.9072,0.4056,-0.2586,0.983,0.9241
1968-03-01,0.0998,-2.2385,-0.7168,1.1746,-0.792,0.1737
1968-03-08,0.0945,-0.4702,-0.8899,0.252,-0.1824,0.4988
1968-03-15,0.0945,-0.0074,-0.4585,-0.54,1.1683,-0.1762
1968-03-22,0.0945,-0.8824,-0.393,-0.3248,0.1115,0.4779
