Year,RF_HXZ,Mkt-RF_HXZ,ME,IA,ROE,EG
1967,4.1474,24.5858,40.3919,-11.8445,20.3918,-3.5006
1968,5.2942,8.8195,24.4501,15.1544,-2.0705,11.965
1969,6.5912,-17.5396,-11.8015,0.561,15.1654,12.7084
1970,6.3829,-6.4274,-8.3673,23.4743,-0.461,19.2351
1971,4.3172,11.8256,5.7711,1.1773,11.9847,5.6704
1972,3.8912,12.934,-9.9505,4.5445,5.1291,14.9244
1973,7.0586,-26.255,-17.5679,8.0119,1.0975,17.3024
1974,8.0781,-35.8233,4.6072,19.1689,11.6901,20.0925
1975,5.821,32.4222,17.166,7.5387,-5.936,11.2246
1976,5.1557,21.8347,22.5373,4.632,-3.0372,11.2701
1977,5.1521,-8.2693,25.1833,2.604,12.0254,17.4607
1978,7.3081,0.8978,12.5495,4.7464,6.2076,13.1038
1979,10.6899,12.7834,21.5253,0.8249,10.7653,3.4591
1980,11.5229,21.8328,2.4218,0.8323,30.5123,11.573
1981,14.8558,-18.2708,9.9712,11.2728,3.9592,14.0931
1982,10.6643,10.7205,10.0649,19.5092,6.5627,23.7144
1983,8.8471,13.708,10.7142,18.1354,5.4303,16.5515
1984,9.9557,-6.1264,-9.6595,3.8059,11.0163,15.6618
1985,7.6767,24.9001,-0.7126,2.5226,18.3777,16.5643
1986,6.0571,10.2633,-8.8058,11.4813,17.4933,17.6186
1987,5.3845,-3.7435,-11.358,6.7733,4.6853,12.9955
1988,6.3228,11.6051,8.629,8.0287,-4.1535,2.594
1989,8.2206,20.5111,-10.0465,11.3458,14.492,11.4766
1990,7.6799,-13.7331,-12.2161,3.3071,15.7136,10.6348
1991,5.5065,29.2544,14.091,-9.4897,21.7963,6.6304
1992,3.4015,6.3579,6.538,8.4006,9.3838,8.853
1993,2.8994,8.2416,7.1766,11.5153,-0.3359,11.2545
1994,3.88,-4.0284,1.1782,5.1986,12.256,19.4016
1995,5.5318,31.2679,-6.886,6.6494,10.5951,23.1641
1996,5.1449,16.0486,1.9215,4.6473,18.3603,19.9294
1997,5.0819,26.1627,-3.9014,4.7725,10.1543,4.679
1998,4.7811,19.421,-27.4881,-1.8599,17.6887,19.056
1999,4.5608,20.6639,8.1685,-5.4467,-14.7852,17.8911
2000,5.7559,-17.3357,16.079,21.0945,28.3166,29.1452
2001,3.7786,-14.9789,21.129,10.3902,3.6652,15.2457
2002,1.6339,-22.7333,4.5399,13.8074,15.687,14.7102
2003,1.0182,30.6636,22.6708,16.9474,-14.9839,-6.5487
2004,1.2005,10.7605,6.4523,-7.2182,1.5418,1.2292
2005,2.9633,3.131,2.5133,-3.4211,9.2482,5.5525
2006,4.7855,10.6164,3.1564,7.3493,0.8033,0.3448
2007,4.6747,1.0515,-9.2572,-9.4593,14.1751,3.7722
2008,1.4742,-38.1225,2.516,1.9298,12.7764,12.5004
2009,0.0966,28.392,10.4378,0.1356,-30.626,5.6547
2010,0.1216,17.3375,12.1441,9.4075,-4.996,-4.2821
2011,0.0428,0.4422,-7.5593,-0.4711,8.5256,9.5256
2012,0.0565,16.2936,5.2204,9.0003,4.3551,-3.7023
2013,0.0277,35.1681,8.1742,3.6634,-1.3409,-6.7314
2014,0.0164,11.6993,-7.547,0.03,4.5473,8.0815
2015,0.0092,0.1399,-5.5524,-6.9387,9.2972,10.7684
2016,0.1886,13.3231,5.897,5.629,-2.3536,0.4213
2017,0.7914,21.4938,-1.3823,-13.3494,10.9985,12.1241
2018,1.7066,-6.7473,-5.9513,-0.5703,4.3563,18.1989
2019,2.147,28.2707,-7.2181,-3.2991,2.4574,-2.2367
2020,0.427,23.6195,-1.8668,-16.8596,-13.8765,12.9253
2021,0.0402,23.5494,4.7022,12.1949,27.2089,3.6415
2022,1.4332,-21.5705,1.0599,27.7952,6.7842,-4.8425
2023,4.9669,21.6394,-6.0892,-23.9903,11.4501,16.7473
