Date,Cof_idx,Recession
1/1/90,-1.2,0
2/1/90,-1.4,0
3/1/90,-0.8,0
4/1/90,-1.4,0
5/1/90,-1.1,0
6/1/90,-1.1,0
7/1/90,-1.1,1
8/1/90,-2.8,1
9/1/90,-4.1,1
10/1/90,-5.2,1
11/1/90,-7.1,1
12/1/90,-8,1
1/1/91,-9.1,1
2/1/91,-9.1,1
3/1/91,-9.6,1
4/1/91,-8.4,0
5/1/91,-7.7,0
6/1/91,-7.7,0
7/1/91,-6.3,0
8/1/91,-4.8,0
9/1/91,-2.8,0
10/1/91,-1.5,0
11/1/91,0.3,0
12/1/91,1.2,0
1/1/92,3.5,0
2/1/92,4.2,0
3/1/92,5.4,0
4/1/92,5.2,0
5/1/92,5.5,0
6/1/92,6.2,0
7/1/92,5.6,0
8/1/92,5.8,0
9/1/92,5.2,0
10/1/92,5.5,0
11/1/92,6.4,0
12/1/92,7.9,0
1/1/93,7.8,0
2/1/93,8.2,0
3/1/93,7.3,0
4/1/93,7.4,0
5/1/93,6.7,0
6/1/93,6.3,0
7/1/93,5.9,0
8/1/93,6.4,0
9/1/93,6.5,0
10/1/93,7.2,0
11/1/93,6.8,0
12/1/93,7,0
1/1/94,6.2,0
2/1/94,6,0
3/1/94,7.4,0
4/1/94,7.3,0
5/1/94,7.8,0
6/1/94,8.3,0
7/1/94,8.6,0
8/1/94,8.7,0
9/1/94,9,0
10/1/94,8.9,0
11/1/94,8.7,0
12/1/94,7.9,0
1/1/95,8.2,0
2/1/95,7.8,0
3/1/95,6.4,0
4/1/95,5.7,0
5/1/95,5.1,0
6/1/95,4.3,0
7/1/95,3.9,0
8/1/95,3.6,0
9/1/95,3.3,0
10/1/95,2.5,0
11/1/95,2.2,0
12/1/95,1.6,0
1/1/96,-0.4,0
2/1/96,0.5,0
3/1/96,0.9,0
4/1/96,1.2,0
5/1/96,2,0
6/1/96,2.6,0
7/1/96,2.4,0
8/1/96,2.1,0
9/1/96,2.1,0
10/1/96,2.7,0
11/1/96,3.5,0
12/1/96,3.5,0
1/1/97,6,0
2/1/97,6.2,0
3/1/97,6.3,0
4/1/97,6.3,0
5/1/97,5.9,0
6/1/97,6.2,0
7/1/97,7.5,0
8/1/97,7.6,0
9/1/97,7.9,0
10/1/97,7.9,0
11/1/97,7.3,0
12/1/97,7.6,0
1/1/98,7,0
2/1/98,6.8,0
3/1/98,6.4,0
4/1/98,6,0
5/1/98,6,0
6/1/98,4.6,0
7/1/98,3.7,0
8/1/98,3.3,0
9/1/98,1.8,0
10/1/98,0.8,0
11/1/98,1,0
12/1/98,1,0
1/1/99,0.7,0
2/1/99,0.1,0
3/1/99,0.1,0
4/1/99,0.4,0
5/1/99,0.4,0
6/1/99,1.1,0
7/1/99,1.5,0
8/1/99,1.6,0
9/1/99,2.4,0
10/1/99,3.5,0
11/1/99,3.9,0
12/1/99,4.5,0
1/1/00,5.5,0
2/1/00,4.4,0
3/1/00,5.3,0
4/1/00,5.3,0
5/1/00,3.7,0
6/1/00,4,0
7/1/00,2.8,0
8/1/00,2.2,0
9/1/00,2.4,0
10/1/00,0.9,0
11/1/00,-0.5,0
12/1/00,-2.8,0
1/1/01,-4.4,0
2/1/01,-5,0
3/1/01,-7.5,1
4/1/01,-8.6,1
5/1/01,-7.6,1
6/1/01,-8.5,1
7/1/01,-8.5,1
8/1/01,-8.3,1
9/1/01,-10.2,1
10/1/01,-9.8,1
11/1/01,-8.8,1
12/1/01,-7,0
1/1/02,-6.2,0
2/1/02,-4.4,0
3/1/02,-2.2,0
4/1/02,-0.2,0
5/1/02,0.2,0
6/1/02,1.1,0
7/1/02,1,0
8/1/02,1.5,0
9/1/02,2.9,0
10/1/02,3.5,0
11/1/02,3.5,0
12/1/02,3.1,0
1/1/03,3.3,0
2/1/03,2.2,0
3/1/03,1.5,0
4/1/03,0.4,0
5/1/03,0.7,0
6/1/03,1.3,0
7/1/03,2.2,0
8/1/03,2.7,0
9/1/03,4.3,0
10/1/03,5.4,0
11/1/03,6.1,0
12/1/03,7,0
1/1/04,8,0
2/1/04,9.4,0
3/1/04,11,0
4/1/04,11.6,0
5/1/04,11.5,0
6/1/04,11.1,0
7/1/04,11.5,0
8/1/04,11.3,0
9/1/04,11,0
10/1/04,10.2,0
11/1/04,9.9,0
12/1/04,9.9,0
1/1/05,9.4,0
2/1/05,8.9,0
3/1/05,7.2,0
4/1/05,7.4,0
5/1/05,6.3,0
6/1/05,6.6,0
7/1/05,6,0
8/1/05,6.2,0
9/1/05,5,0
10/1/05,4.8,0
11/1/05,4.5,0
12/1/05,3.6,0
1/1/06,3.6,0
