year,month,R_F,R_MKT,R_ME,R_IA,R_ROE,R_EG
1967,1,0.3927,8.1852,6.8284,-2.9677,1.9193,-2.1769
1967,2,0.3743,0.7557,1.6496,-0.2270,3.5395,2.2211
1967,3,0.3693,4.0169,2.0026,-1.7789,1.8417,-1.0360
1967,4,0.3344,3.8786,-0.6898,-2.8756,1.0583,-1.7259
1967,5,0.3126,-4.2807,2.8469,2.5239,0.6917,0.1578
1967,6,0.2674,2.4199,6.2394,-2.1203,0.3089,-0.4236
1967,7,0.3153,4.5784,3.0386,2.3556,-0.6775,-0.1323
1967,8,0.3240,-0.9048,0.3083,1.7679,-0.6249,0.0961
1967,9,0.3177,3.1074,1.7230,-0.3387,0.6802,-0.6582
1967,10,0.3649,-3.0491,0.7527,-2.3566,3.1968,0.1550
1967,11,0.3416,0.3765,0.1514,-2.8065,0.7622,0.2299
1967,12,0.3565,3.0233,4.5645,0.2695,0.8002,1.5529
1968,1,0.3934,-4.0255,5.3224,4.6808,-2.7790,1.2610
1968,2,0.3849,-3.7294,-1.6021,2.7082,-0.3612,3.3990
1968,3,0.3977,0.1880,-2.2336,-1.1412,1.6766,1.1834
1968,4,0.4263,9.0295,5.3736,-2.5654,3.6574,-1.8120
1968,5,0.4672,2.2564,6.6630,-2.3027,1.9679,-0.3505
1968,6,0.4436,0.6745,-0.4609,2.4660,-0.3919,-0.0436
1968,7,0.4790,-2.6873,-1.1798,2.7648,-2.0599,3.3483
1968,8,0.4476,1.3272,2.2095,0.5377,-0.6370,1.6268
1968,9,0.4203,4.0566,1.4401,-0.5988,-3.4599,-1.2098
1968,10,0.4394,0.4255,-0.6893,2.6592,0.5300,2.5195
1968,11,0.4457,5.4064,2.7772,-1.4016,-0.4025,-0.9356
1968,12,0.4249,-3.9304,3.1480,2.5763,-0.7940,-0.8697
1969,1,0.5025,-1.2291,-0.3155,1.1579,-0.0419,0.4790
1969,2,0.4619,-5.8496,-3.8811,0.8695,1.0745,2.3558
1969,3,0.4802,2.6600,-0.2917,0.4210,1.8681,2.4981
1969,4,0.4859,1.5003,-0.1735,0.5309,1.9447,-0.1946
1969,5,0.5215,-0.1257,0.3506,1.3994,-0.0812,-0.0395
1969,6,0.5137,-7.1923,-4.7278,-0.5881,3.3657,2.4771
1969,7,0.5520,-7.0331,-2.8932,2.0773,2.0931,3.4183
1969,8,0.5890,4.6007,0.9935,-2.6235,0.3624,-2.0509
1969,9,0.5856,-2.9387,0.7049,0.0549,2.0371,2.7913
1969,10,0.5724,5.0810,2.8468,-1.4489,-1.0344,-1.1314
1969,11,0.5509,-3.8235,-2.0233,0.2104,2.7382,2.2830
1969,12,0.5846,-2.5834,-3.6195,-0.5031,3.6744,1.7189
1970,1,0.5781,-8.0676,3.4625,3.4052,-1.2607,3.2798
1970,2,0.6167,5.0779,-2.4815,1.7716,-2.0670,0.1127
1970,3,0.5542,-1.0373,-1.3140,3.3133,-0.8944,2.9901
1970,4,0.5286,-11.0383,-4.6397,5.1447,0.3396,5.7065
1970,5,0.5546,-6.9458,-3.2371,3.1395,0.2382,3.6207
1970,6,0.5546,-5.7634,-1.8945,3.6627,2.5647,3.8940
1970,7,0.4886,6.9490,-0.4326,2.5463,-0.8376,-1.1825
1970,8,0.5020,4.5098,0.6360,-0.8656,-3.3301,-2.0775
1970,9,0.5034,4.2154,7.1519,-4.5667,-1.3398,-5.5031
1970,10,0.4954,-2.3108,-3.1779,2.9508,5.4955,3.9498
1970,11,0.4489,4.6032,-3.6529,0.7995,0.7060,2.1987
1970,12,0.3786,5.7758,2.7302,0.2507,-1.0452,-0.3328
1971,1,0.3777,4.8376,6.8382,-0.2396,-4.2031,-3.1846
1971,2,0.3344,1.3927,1.4505,0.6378,2.4361,0.7462
1971,3,0.2924,4.1315,2.6150,-1.9561,1.9067,-0.3496
1971,4,0.2804,3.1513,-0.2810,1.3068,-1.1773,-0.8788
1971,5,0.3127,-4.0032,-1.4699,0.8408,1.4160,0.8228
1971,6,0.3505,-0.0690,-0.6748,-0.7045,4.3422,2.3488
1971,7,0.4272,-4.5182,0.1890,2.3804,2.4069,0.6396
1971,8,0.4446,3.8106,-2.3059,1.4933,-3.3425,-0.0684
1971,9,0.3630,-0.8462,0.3490,0.0641,2.7781,1.2708
1971,10,0.3855,-4.4382,-1.2175,-0.8412,1.8165,2.5146
1971,11,0.3506,-0.4400,-2.7012,-0.2227,1.6931,1.5323
1971,12,0.3152,8.7371,2.6944,-2.0412,-1.4985,-1.5598
1972,1,0.2850,2.4876,6.7050,0.1588,-6.5071,1.9660
1972,2,0.2659,2.8485,0.4590,1.9930,1.0478,-0.3470
1972,3,0.2590,0.6398,-1.0197,1.8392,2.1095,1.5970
1972,4,0.2962,0.2728,0.2422,0.2396,0.7439,0.2792
1972,5,0.2942,1.2622,-2.5367,-1.5020,2.0690,1.2874
1972,6,0.2800,-2.4172,0.4274,0.0268,3.5905,1.5513
1972,7,0.3084,-0.8379,-1.9759,-0.3928,2.1012,3.2058
1972,8,0.2988,3.2486,-3.5252,3.5408,-1.5054,0.5063
1972,9,0.3546,-1.1495,-1.0696,-1.1251,2.1088,0.4612
1972,10,0.3891,0.5271,-3.1006,-0.5007,-0.4427,0.6599
1972,11,0.3739,4.5932,-0.9835,2.5964,-4.1062,0.6969
1972,12,0.4185,0.5727,-1.7774,-1.3503,3.1279,1.8048
1973,1,0.4410,-3.2918,-2.3772,0.3555,-0.3811,3.3322
1973,2,0.4277,-4.8635,-4.4782,0.1066,-1.0371,1.5220
1973,3,0.4750,-1.3435,-1.6855,0.5066,-1.9078,3.2100
1973,4,0.5002,-5.6575,-2.9136,3.1132,-0.5363,4.0693
1973,5,0.5098,-2.9546,-5.6948,-0.4114,1.6027,1.5846
1973,6,0.5379,-1.5900,-1.2209,0.4364,-0.1103,2.8658
1973,7,0.6540,5.0255,7.9616,-5.7477,1.1376,-4.2331
1973,8,0.6855,-3.8069,-1.9392,1.6985,1.4899,1.4525
1973,9,0.6749,4.7527,5.7352,2.1956,-1.3047,-1.5413
1973,10,0.6856,-0.8621,-1.2115,2.6182,0.4903,4.0646
1973,11,0.5529,-12.7439,-7.4553,1.9573,-1.1296,2.0740
1973,12,0.6961,0.6667,-4.5308,2.5183,3.6506,4.6139
1974,1,0.6274,-0.1619,11.5564,2.1051,-4.8138,-0.5604
1974,2,0.5819,-0.4736,-0.5357,2.0959,-1.0446,1.4267
1974,3,0.5677,-2.8245,1.8429,-0.0472,1.8113,1.1782
1974,4,0.7949,-5.3310,-0.4824,2.3663,2.2129,2.5284
1974,5,0.7235,-4.6599,-4.1093,-0.3521,2.3001,0.2895
1974,6,0.6892,-2.9154,0.2617,1.5887,1.5607,2.1538
1974,7,0.6756,-8.0181,3.5437,4.4292,2.5567,5.6852
1974,8,0.5940,-9.3440,2.2185,3.1493,2.9559,4.8505
1974,9,0.7997,-11.7639,2.0304,4.8696,-2.2994,3.3901
1974,10,0.5254,16.0666,-5.9413,-1.5064,8.8862,1.0374
1974,11,0.5139,-4.4797,-0.8166,2.5432,1.7201,1.3758
1974,12,0.7009,-3.4488,-3.8364,2.1589,0.4744,2.0460
1975,1,0.5387,13.7056,12.4470,-0.5177,-11.6181,-5.4040
1975,2,0.4326,5.5570,-1.3808,-1.6716,3.6046,0.6055
1975,3,0.4014,2.6678,3.3168,-0.6366,-1.7338,-1.7983
1975,4,0.4489,4.2101,-1.3681,-0.0429,3.3684,2.3097
1975,5,0.4869,5.1410,3.2742,-0.1207,-0.2673,-0.0167
1975,6,0.4133,4.8545,1.6189,0.3474,-1.5818,-0.6513
1975,7,0.4811,-6.5871,2.9693,1.4388,-1.3503,1.7009
1975,8,0.4815,-2.8497,-3.2098,-0.1799,0.6885,1.3638
1975,9,0.5575,-4.2910,0.6336,1.3519,1.6797,3.3362
1975,10,0.5185,5.3413,-4.4872,3.0056,2.6814,2.5424
1975,11,0.4127,2.6413,-0.4781,1.5715,0.6636,1.5634
1975,12,0.4983,-1.6279,0.2829,-0.0397,-2.2506,0.4649
1976,1,0.4402,12.1724,6.7749,1.4885,-2.6663,0.8707
1976,2,0.3452,0.3125,6.9275,2.1577,-3.7503,0.8706
1976,3,0.4344,2.2850,-0.4217,1.7157,2.4346,1.6181
1976,4,0.4440,-1.5107,-0.5645,-0.7475,-0.3256,0.0357
1976,5,0.4124,-1.3766,-1.2464,-0.9763,0.5098,0.3295
1976,6,0.4446,4.0397,0.0617,1.3378,-0.0551,0.9442
1976,7,0.4390,-1.0323,1.1703,0.9278,0.7571,1.6303
1976,8,0.4745,-0.6094,-2.0631,-0.6180,-0.0043,0.5722
1976,9,0.3924,2.1069,-0.2294,-1.4035,1.1188,0.9964
1976,10,0.4092,-2.4233,0.7110,-1.1201,0.3243,-0.4868
1976,11,0.4440,0.3090,3.4568,-0.2689,-0.4753,0.1493
1976,12,0.3579,5.6960,3.3012,1.8221,-1.1085,1.0763
1977,1,0.3594,-4.0293,6.0180,0.9900,-2.1441,1.6761
1977,2,0.3499,-1.9367,1.0765,0.1256,1.2463,0.4082
1977,3,0.3769,-1.3685,1.4446,-0.1641,0.3317,-0.3667
1977,4,0.4114,0.1140,1.2502,1.2008,0.3940,0.7442
1977,5,0.3855,-1.4659,1.4996,0.2077,1.7533,2.7093
1977,6,0.3716,4.7390,3.0932,-0.7021,2.3262,2.9305
1977,7,0.3873,-1.6568,1.0074,1.0332,1.7145,2.3918
1977,8,0.4993,-1.8072,-0.2586,-0.9021,1.3871,-0.0814
1977,9,0.4330,-0.2699,1.4255,-0.0303,1.3870,1.5202
1977,10,0.4943,-4.3863,1.4066,-0.5693,-1.0036,1.1235
1977,11,0.4959,3.9990,4.5653,1.2320,2.5707,1.4899
1977,12,0.4700,0.2831,1.4645,0.0767,1.2335,1.8089
1978,1,0.5374,-6.0473,2.2856,0.9892,-1.6999,0.2845
1978,2,0.4941,-1.4121,4.0873,1.3223,0.0683,1.6700
1978,3,0.5017,2.8714,3.3652,2.5273,0.0172,0.1430
1978,4,0.5712,7.8260,-0.0824,-0.3498,5.5164,0.5560
1978,5,0.5317,1.7363,3.6659,0.9017,0.5084,0.5451
1978,6,0.5369,-1.6885,1.4101,0.4806,1.4368,1.2015
1978,7,0.5591,5.1020,0.1973,0.2897,1.8154,2.6592
1978,8,0.5550,3.7437,4.7011,1.1571,1.9141,0.6506
1978,9,0.5964,-1.4064,-0.7308,0.2503,-3.5431,-0.8440
1978,10,0.7498,-11.9724,-10.9771,0.6056,-1.1491,0.9919
1978,11,0.7041,2.7187,4.0453,-1.0503,1.2959,1.5463
1978,12,0.7372,0.9239,0.4939,-1.0899,2.6744,2.4895
1979,1,0.7882,4.2089,4.2959,1.6757,-1.2149,-1.3198
1979,2,0.7324,-3.5587,0.3742,-0.4869,-2.3910,0.4710
1979,3,0.8928,5.5859,3.8601,0.7803,2.3604,0.5342
1979,4,0.8489,-0.1153,2.3636,0.7971,1.8657,-0.2849
1979,5,0.8161,-2.2031,0.5023,-0.0713,-0.6288,0.4436
1979,6,0.7858,3.8639,0.8737,-0.8834,-1.0448,-1.7343
1979,7,0.8410,0.7485,1.2846,0.6496,0.5454,-0.6513
1979,8,0.7506,5.5385,1.6195,-0.3274,2.9163,-0.0151
1979,9,0.7732,-0.7533,-0.0861,-0.1350,0.6865,2.8481
1979,10,0.9621,-8.1773,-3.1784,0.0298,0.9917,1.6684
1979,11,0.9878,5.2094,2.1556,-2.5351,2.2845,-0.3745
1979,12,1.0209,1.7155,3.9693,-1.1101,1.2340,-0.1778
1980,1,0.7968,5.4954,0.8236,1.3755,1.7091,0.3892
1980,2,1.0654,-1.3981,-1.5834,1.6355,2.3128,3.5816
1980,3,1.2009,-12.8931,-6.5922,0.7580,-1.1889,-1.0137
1980,4,1.2865,3.9336,1.3272,1.2171,0.1560,1.4404
1980,5,0.7883,5.2656,1.4455,-1.3668,-0.9026,-0.7841
1980,6,0.6312,3.0379,1.3259,-1.1238,3.0751,0.8495
1980,7,0.5281,6.4901,3.7415,-2.2835,-0.4309,-3.3008
1980,8,0.5973,1.8483,4.7241,0.6360,2.5095,1.5091
1980,9,0.8698,2.0676,0.8342,-0.4989,5.1692,2.3078
1980,10,0.8912,1.1260,1.1598,0.5113,4.0511,2.6543
1980,11,0.8895,9.6499,-5.0206,-1.8971,9.0081,0.8890
1980,12,1.4149,-4.5940,1.0720,0.9228,-1.3007,0.1451
1981,1,0.9957,-4.9937,3.7136,2.4284,-4.8625,0.5626
1981,2,1.0685,0.5716,-0.0128,1.8933,0.7188,1.6871
1981,3,1.3157,3.4501,3.4407,-1.7882,-1.3251,-1.8552
1981,4,1.0756,-2.1749,4.1822,2.3542,1.3307,1.0888
1981,5,1.0646,0.1984,2.4679,-0.5217,-0.0417,1.6626
1981,6,1.5158,-2.5098,-0.7592,2.7179,-0.0395,1.9106
1981,7,1.1915,-1.4902,-1.6009,-1.9549,3.1499,-0.6191
1981,8,1.2804,-7.0074,-1.3999,1.2120,0.7439,2.2329
1981,9,1.2794,-7.1791,-1.6999,3.5847,0.6353,4.0109
1981,10,1.1685,4.9279,1.9648,-1.0037,4.7524,-1.0121
1981,11,1.1030,3.3194,-1.5096,0.4675,0.5365,1.9895
1981,12,0.8738,-3.6308,1.2699,1.9064,-0.4911,1.3700
1982,1,0.7306,-3.1675,-0.2738,2.0678,-1.4370,0.8418
1982,2,0.9176,-5.8456,0.5093,4.7787,0.3372,3.5564
1982,3,1.1077,-1.9771,0.6494,1.7936,-1.6858,2.4457
1982,4,1.1290,3.2641,0.4600,1.1662,1.9106,0.7097
1982,5,0.9592,-3.8098,-0.4029,-0.5056,-0.5057,0.9597
1982,6,1.0710,-3.1715,1.1390,2.7958,0.1052,3.4237
1982,7,1.0210,-3.1604,1.7077,2.0544,2.7536,3.8311
1982,8,0.8342,11.0522,-3.4331,-0.5050,-1.2626,-2.9382
1982,9,0.5118,1.2968,3.0825,1.0496,3.5356,3.5036
1982,10,0.5475,11.3367,0.9040,-1.0797,-0.7302,-0.9991
1982,11,0.7201,4.5867,4.4660,1.4721,3.1813,3.8231
1982,12,0.6289,0.6062,-0.7888,0.3665,-0.7166,-0.2713
1983,1,0.6864,3.5938,2.2053,-0.8305,-2.4005,-1.8970
1983,2,0.6186,2.5819,3.7613,1.6194,3.0421,2.0265
1983,3,0.6326,2.8196,1.5925,2.8987,1.1260,2.0409
1983,4,0.6918,6.6876,-0.3492,2.1808,0.5583,2.3291
1983,5,0.7584,0.4543,6.1099,-1.4387,-3.5765,-3.8352
