date,R_F,R_MKT,R_ME,R_IA,R_ROE,R_EG
19670106,0.0747,2.2823,1.2668,0.4269,-0.5084,-1.1172
19670113,0.0934,2.9326,1.4232,-0.3834,0.7606,0.8189
19670120,0.0934,1.8872,1.2531,-1.6048,0.3933,-1.1684
19670127,0.0934,0.3518,1.7395,-1.5365,1.2813,-0.2194
19670203,0.0964,1.3707,0.9202,0.5815,0.2693,-0.0917
19670210,0.0984,0.3940,0.0220,-0.1593,0.6905,1.0164
19670217,0.0984,0.5081,0.5142,0.0881,-0.1281,0.0159
19670224,0.0787,-0.3051,0.9314,-0.1661,1.4194,0.0557
19670303,0.0896,0.9387,0.1747,-0.9846,1.7399,0.3934
19670310,0.0838,0.8557,1.2312,-1.3844,0.9348,-0.4880
19670317,0.0838,1.3307,-0.7701,-0.5092,-0.1388,-0.8677
19670323,0.0670,0.6690,0.5067,0.2945,0.2635,0.2611
19670331,0.0838,-0.5676,0.5585,0.7945,0.0115,0.2370
19670407,0.0835,-0.9132,0.1402,0.3360,-1.2960,-0.6163
19670414,0.0835,1.0099,-0.7225,-1.3112,0.5555,0.3223
19670421,0.0835,2.0707,0.1864,-0.8918,0.4937,-0.2696
19670428,0.0835,1.6782,-0.1945,-0.9635,1.2258,-1.0533
19670505,0.0710,0.6500,1.4486,0.1173,0.1429,-0.5461
19670512,0.0710,-0.6814,0.8675,0.0380,-0.2374,-0.2840
19670519,0.0710,-1.1225,1.5401,0.9464,-0.3195,-0.7244
19670526,0.0710,-1.0822,-0.2705,0.3009,0.7033,1.0912
19670602,0.0527,-1.3718,-0.3290,0.7307,0.3492,0.2488
19670609,0.0607,2.0421,0.5106,-0.8920,0.2964,-0.1724
19670616,0.0607,1.2720,2.4000,-1.2838,0.7113,0.3418
19670623,0.0607,-0.3803,1.8619,-0.1032,0.2484,-0.3299
19670630,0.0607,-1.2769,0.8591,0.3954,-0.8398,0.0871
19670707,0.0630,1.2936,0.6499,-0.4588,1.0557,0.2118
19670714,0.0787,1.2856,1.2891,0.2682,-0.2476,-0.8156
19670721,0.0787,1.0502,-0.0197,3.0855,-0.3655,0.2805
19670728,0.0787,0.5827,0.9368,-0.7179,-0.8850,0.1788
19670804,0.0720,1.3294,-0.4791,-0.0224,-0.5092,-0.8735
19670811,0.0703,-0.7051,-0.1112,1.4432,-0.0802,0.3662
19670818,0.0703,-0.3491,0.2805,0.7857,-0.1261,0.5496
19670825,0.0703,-2.0745,0.1395,-0.0259,-0.0463,-0.0280
19670901,0.0721,1.3642,1.0992,-0.5762,-0.1256,0.2881
19670908,0.0635,0.6584,0.3731,0.3385,0.1435,-0.2571
19670915,0.0793,1.8299,0.1027,0.9964,0.1211,-1.1530
19670922,0.0793,0.7084,0.5512,-0.3499,0.2157,0.3868
19670929,0.0793,-0.2676,0.2709,-0.9847,0.4764,-0.1684
19671006,0.0828,0.5737,0.7752,-1.1810,0.6688,-0.2661
19671013,0.0828,-1.3651,0.9442,0.0665,0.2929,0.4887
19671020,0.0828,-0.7779,-0.9371,-0.4218,1.3831,-0.5284
19671027,0.0828,-0.4557,-0.1021,-1.2267,0.8705,0.1035
19671103,0.0843,-3.2085,0.5504,-0.1156,-0.4842,0.1233
19671110,0.0682,0.3036,-0.6767,0.1988,0.9750,0.5907
19671117,0.0853,0.6701,-1.2010,-1.5879,-0.1703,-0.3697
19671124,0.0682,1.1664,0.2922,-1.0378,0.2581,-0.1556
19671201,0.0860,1.0037,1.5381,0.1332,0.7057,0.3594
19671208,0.0890,0.9121,0.5646,-0.5529,1.2380,0.8180
19671215,0.0890,-0.1704,1.6825,-0.3688,-0.5372,-0.0853
19671222,0.0890,0.2957,1.2426,1.5575,0.4280,0.7018
19671229,0.0712,1.4168,0.4196,-0.5694,-0.8226,0.0827
19680105,0.0714,-0.4774,1.7899,3.1995,-2.5222,0.0944
19680112,0.0893,1.1551,2.3816,-0.4058,-0.0405,-0.9104
19680119,0.0893,-1.1614,2.0039,0.6072,0.6828,1.0031
19680126,0.0893,-2.0331,0.3457,0.7104,-0.1138,0.7954
19680202,0.0940,-1.5862,-1.2974,0.9572,-1.3877,0.3363
19680209,0.1011,-2.8336,-1.9757,1.3302,-1.0679,1.2460
19680216,0.0809,0.0310,0.1361,0.5040,0.6214,0.6904
19680223,0.0809,0.9072,0.3880,-0.2493,0.9699,0.8260
